Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
hanoidb,git://github.com/krestenkrab/hanoidb.git,10,377,10,0,0,10,220,280,54,34,Erlang,2016
these,git://github.com/isomorphism/these.git,14,235,34,0,13,7,409,92,32,8,Haskell,2019
jq-console,git://github.com/replit-archive/jq-console.git,13,327,47,0,29,14,454,590,118,33,CoffeeScript,2019
contao-changelanguage,git://github.com/terminal42/contao-changelanguage.git,11,366,133,17,35,8,411,32,26,14,PHP,2019
TreasureChest,git://github.com/Mtihc/TreasureChest.git,13,106,42,0,0,45,406,7,22,3,Java,2019
Tir,git://github.com/mongrel2/Tir.git,10,150,3,1,2,9,121,252,26,12,Lua,2013
jmpress.js,git://github.com/jmpressjs/jmpress.js.git,9,500,117,0,6,45,223,1535,265,77,JavaScript,2016
php-webdriver,git://github.com/Element-34/php-webdriver.git,14,255,12,0,5,33,425,127,59,21,PHP,2019
sqlabs,git://github.com/kenji4569/sqlabs.git,8,432,46,0,0,22,79,12,26,5,JavaScript,2013
horton,git://github.com/theochem/horton.git,13,2097,104,8,13,28,437,53,36,17,Python,2019
alogger,git://github.com/siberian-fast-food/alogger.git,9,315,17,0,15,19,172,49,16,5,Erlang,2014
js-test-agent,git://github.com/mozilla-b2g/js-test-agent.git,12,381,21,0,0,14,150,8,12,102,JavaScript,2015
QtDropbox,git://github.com/lycis/QtDropbox.git,10,183,30,0,0,10,198,99,45,27,C++,2015
Overthrow,git://github.com/filamentgroup/Overthrow.git,13,296,27,3,10,48,231,916,100,47,JavaScript,2016
rem,git://github.com/tcr/rem.git,8,233,52,0,9,39,97,25,11,2,JavaScript,2013
BKCommonLib,git://github.com/bergerkiller/BKCommonLib.git,8,632,9,0,0,18,309,36,46,25,Java,2018
ginkgo,git://github.com/progrium/ginkgo.git,14,263,35,0,3,11,84,328,51,15,Python,2012
solr-for-wordpress,git://github.com/mattweber/solr-for-wordpress.git,13,123,13,0,4,19,171,86,37,13,PHP,2014
spritesheet,git://github.com/skylarkstudio/spritesheet.git,10,49,2,0,0,7,359,41,25,8,Haxe,2018
nexmo-java,git://github.com/Nexmo/nexmo-java.git,13,314,96,28,28,12,411,63,65,31,Java,2019
grails-redis,git://github.com/grails-plugins/grails-redis.git,24,291,20,1,13,14,362,63,40,12,Groovy,2018
ngx_aws_auth,git://github.com/anomalizer/ngx_aws_auth.git,16,82,16,0,6,29,415,339,108,17,C,2018
web-ui-fw,git://github.com/web-ui-fw/web-ui-fw.git,24,1853,23,0,6,14,166,35,15,6,JavaScript,2015
git-deploy,git://github.com/git-deploy/git-deploy.git,18,231,12,0,2,16,180,805,65,61,Perl,2015
fsevents,git://github.com/strongloop/fsevents.git,21,235,204,38,52,1,458,374,79,31,C,2019
betamax,git://github.com/betamaxteam/betamax.git,21,969,177,2,7,10,301,443,133,23,Groovy,2017
rack-webconsole,git://github.com/codegram/rack-webconsole.git,21,114,20,0,10,12,299,250,48,12,Ruby,2017
syncCto,git://github.com/menatwork/syncCto.git,15,859,201,2,75,69,433,24,14,20,PHP,2019
Memacs,git://github.com/novoid/Memacs.git,16,627,37,0,0,13,437,522,48,50,Python,2019
babel,git://github.com/mikrobi/babel.git,17,177,98,3,15,26,409,61,36,8,PHP,2018
PySurfer,git://github.com/nipy/PySurfer.git,23,820,104,3,9,9,453,138,83,23,Python,2019
wasync,git://github.com/Atmosphere/wasync.git,17,561,101,0,26,19,400,155,45,24,Java,2019
normalize.css,git://github.com/necolas/normalize.css.git,16,360,431,0,27,18,391,37083,7733,1569,CSS,2018
drupalcores,git://github.com/ericduran/drupalcores.git,22,167,22,0,1,12,172,36,75,10,Ruby,2015
lettuce_webdriver,git://github.com/bbangert/lettuce_webdriver.git,26,185,7,2,6,9,292,79,35,12,Python,2016
tool,git://github.com/wsexport/tool.git,19,458,79,0,0,41,418,40,21,9,PHP,2019
node-x11,git://github.com/sidorares/node-x11.git,27,643,54,0,25,35,443,411,74,37,JavaScript,2019
stderred,git://github.com/sickill/stderred.git,15,179,25,0,1,29,297,702,40,19,C,2017
tiled,git://github.com/HaxePunk/tiled.git,18,83,9,0,1,11,364,51,22,10,Haxe,2018
AndroidViewClient,git://github.com/dtmilano/AndroidViewClient.git,27,988,123,11,115,61,409,928,262,79,Python,2019
puppet-foreman,git://github.com/theforeman/puppet-foreman.git,58,771,89,0,50,6,407,96,245,16,Ruby,2019
zpanelx,git://github.com/zpanel/zpanelx.git,49,1742,55,3,15,49,175,363,283,68,PHP,2014
gmusicapi,git://github.com/simon-weber/gmusicapi.git,38,1402,436,0,43,60,411,2469,298,146,Python,2019
scikit-image,git://github.com/scikit-image/scikit-image.git,316,11776,1190,3,65,413,439,3386,1447,191,Python,2019
AliDatatableBundle,git://github.com/AliHichem/AliDatatableBundle.git,36,225,118,0,19,10,281,116,78,12,PHP,2017
swagger-node,git://github.com/swagger-api/swagger-node.git,73,672,223,1,24,173,366,3535,564,157,JavaScript,2018
handsontable,git://github.com/handsontable/handsontable.git,80,6595,4972,170,180,677,445,12954,2393,487,JavaScript,2019
LivelyKernel,git://github.com/LivelyKernel/LivelyKernel.git,49,6322,152,1,6,69,408,224,48,37,JavaScript,2019
redis,git://github.com/MicrosoftArchive/redis.git,105,5058,385,29,37,182,408,15673,4136,1393,C,2019
silverstripe-googlesitemaps,git://github.com/wilr/silverstripe-googlesitemaps.git,49,227,76,0,26,11,457,71,76,16,PHP,2019
prettytime,git://github.com/ocpsoft/prettytime.git,63,311,62,0,21,30,468,1056,222,55,Java,2019
WebSocket-Node,git://github.com/theturtle32/WebSocket-Node.git,42,521,242,0,52,42,452,2846,502,138,JavaScript,2019
Kundera,git://github.com/Impetus/Kundera.git,62,3929,796,1,46,169,374,879,244,126,Java,2018
scalikejdbc,git://github.com/scalikejdbc/scalikejdbc.git,86,2526,376,41,148,32,420,1060,201,74,Scala,2019
violations-plugin,git://github.com/jenkinsci/violations-plugin.git,42,487,20,2,20,25,258,54,74,128,Java,2015
rails-style-guide,git://github.com/rubocop-hq/rails-style-guide.git,89,379,33,0,0,23,428,5872,1051,263,,2019
vim-scala,git://github.com/derekwyatt/vim-scala.git,30,262,53,0,0,21,458,1074,135,38,Vim script,2019
