Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
QuantitativeReporting,git://github.com/QIICR/QuantitativeReporting.git,10,841,132,1,1,18,414,10,16,12,Python,2019
RosYama.2,git://github.com/RosYama/RosYama.2.git,9,632,9,0,0,16,198,104,41,12,HTML,2015
SQLBuilder,git://github.com/c9s/SQLBuilder.git,9,1030,48,2,54,26,411,119,17,9,PHP,2019
Master,git://github.com/TeamMentor/Master.git,12,1155,543,9,17,395,237,15,17,10,JavaScript,2016
Arelle,git://github.com/Arelle/Arelle.git,12,2496,0,0,10,0,443,227,151,62,Python,2019
pure-python-otr,git://github.com/python-otr/pure-python-otr.git,9,161,38,0,8,13,334,151,22,24,Python,2018
KKPasscodeLock,git://github.com/aporat/KKPasscodeLock.git,10,80,6,0,4,13,84,306,84,17,Objective-C,2013
oigame,git://github.com/alabs/oigame.git,14,2609,182,0,1,62,249,41,14,16,Ruby,2016
javascript-state-machine,git://github.com/jakesgordon/javascript-state-machine.git,12,164,88,0,13,52,371,6733,875,261,JavaScript,2018
Superfish-for-Drupal,git://github.com/mehrpadin/Superfish-for-Drupal.git,8,67,0,2,3,0,409,92,78,13,JavaScript,2019
mikidown,git://github.com/ShadowKyogre/mikidown.git,9,399,51,0,22,15,231,104,24,7,Python,2016
cmb_field_map,git://github.com/mustardBees/cmb_field_map.git,8,59,31,14,14,20,343,110,49,15,PHP,2018
Substrate,git://github.com/minecraft-dotnet/Substrate.git,14,303,9,1,47,15,320,141,52,22,C#,2017
Modifyworld,git://github.com/PEXPlugins/Modifyworld.git,10,124,57,0,2,48,311,36,44,10,Java,2017
parse-cron,git://github.com/siebertm/parse-cron.git,11,48,8,0,6,5,236,117,42,4,Ruby,2016
redaxo_ycom,git://github.com/yakamara/redaxo_ycom.git,14,416,185,0,7,16,422,47,30,11,PHP,2019
flexnav,git://github.com/mrjasonweaver/flexnav.git,10,196,115,12,13,74,152,1219,430,106,CSS,2014
viewshare,git://github.com/LibraryOfCongress/viewshare.git,10,1148,44,5,33,18,185,36,13,11,JavaScript,2014
CalendR,git://github.com/yohang/CalendR.git,8,238,17,1,17,9,413,449,55,26,PHP,2019
Madison-Student-Apartment-Finder,git://github.com/mswysocki/Madison-Student-Apartment-Finder.git,9,566,35,0,0,14,12,5,1,5,Ruby,2012
ijson,git://github.com/isagalaev/ijson.git,15,174,48,0,14,9,279,591,72,16,Python,2016
puppet-archive,git://github.com/camptocamp/puppet-archive.git,26,203,12,4,33,11,341,29,119,18,Puppet,2018
mate-terminal,git://github.com/mate-desktop/mate-terminal.git,28,442,112,2,50,56,423,69,51,21,C,2019
openspendingjs,git://github.com/openspending-archive/openspendingjs.git,25,844,10,0,5,39,222,36,27,8,JavaScript,2015
EcomDev_PHPUnit,git://github.com/EcomDev/EcomDev_PHPUnit.git,27,294,88,0,15,52,172,305,181,38,PHP,2014
