Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
Most-Pixels-Ever-Processing,git://github.com/shiffman/Most-Pixels-Ever-Processing.git,12,342,35,4,4,23,285,270,70,47,Java,2016
Twitter-Mentions-as-Comments,git://github.com/benbalter/Twitter-Mentions-as-Comments.git,8,223,13,4,23,14,290,22,12,4,PHP,2017
AtlasOS,git://github.com/0x10cAtlas/AtlasOS.git,10,164,34,0,0,12,11,86,12,4,DCPU-16 ASM,2012
BeSimpleSoapBundle,git://github.com/BeSimple/BeSimpleSoapBundle.git,11,276,60,0,9,32,203,65,65,13,PHP,2015
pyBurlyBot,git://github.com/Clam-/pyBurlyBot.git,8,276,41,0,0,34,435,4,2,4,Python,2019
CoilSnake,git://github.com/mrtenda/CoilSnake.git,10,531,136,15,15,16,408,97,25,15,Python,2019
backboneboilerplate,git://github.com/thomasdavis/backboneboilerplate.git,11,103,22,0,0,13,82,589,104,37,JavaScript,2013
typhoon,git://github.com/culanth/typhoon.git,12,1695,325,0,36,14,454,2,0,2,JavaScript,2019
python-clouddns,git://github.com/rackerlabs/python-clouddns.git,9,56,2,0,0,6,80,59,27,197,Python,2013
oscar,git://github.com/oscar-stack/oscar.git,12,268,26,3,29,20,408,90,39,10,Ruby,2019
TreasureChest,git://github.com/Mtihc/TreasureChest.git,13,106,42,0,0,45,406,7,22,3,Java,2019
protobuf,git://github.com/chrisdew/protobuf.git,13,1539,23,3,3,12,415,223,78,18,C++,2019
neoclipse,git://github.com/neo4j-contrib/neoclipse.git,13,384,16,0,0,55,186,204,143,51,Java,2014
RedMine-plantillas-plugin,git://github.com/generaldesoftware/RedMine-plantillas-plugin.git,8,33,17,0,0,9,173,22,19,6,Ruby,2015
bezierinfo,git://github.com/Pomax/bezierinfo.git,9,435,46,0,1,14,428,602,74,36,PHP,2019
django-audit-log,git://github.com/vvangelovski/django-audit-log.git,13,102,16,2,6,25,367,204,79,9,Python,2018
pusher-realtime-chat-widget,git://github.com/pusher-community/pusher-realtime-chat-widget.git,10,52,13,0,0,11,328,94,91,17,HTML,2018
xunlei-lixian,git://github.com/iambus/xunlei-lixian.git,10,623,239,0,0,172,268,2034,410,156,Python,2016
oigame,git://github.com/alabs/oigame.git,14,2609,182,0,1,62,249,41,14,16,Ruby,2016
django-oauth2-provider,git://github.com/caffeinehit/django-oauth2-provider.git,9,136,23,0,0,41,112,327,259,25,Python,2014
Adafruit-ST7735-Library,git://github.com/adafruit/Adafruit-ST7735-Library.git,17,212,55,37,37,7,450,275,203,50,C++,2019
PySurfer,git://github.com/nipy/PySurfer.git,23,820,104,3,9,9,453,138,83,23,Python,2019
developer,git://github.com/Automattic/developer.git,27,182,31,0,4,15,312,468,96,198,PHP,2018
passport-google-oauth,git://github.com/jaredhanson/passport-google-oauth.git,22,109,51,0,9,40,414,667,327,20,JavaScript,2019
iActiveRecord,git://github.com/AlexDenisov/iActiveRecord.git,19,332,36,0,10,17,244,361,55,22,C,2016
selenium-plugin,git://github.com/jenkinsci/selenium-plugin.git,29,419,62,0,23,22,470,109,103,144,Java,2019
tldextract,git://github.com/john-kurkowski/tldextract.git,27,327,95,0,35,15,458,1111,153,51,Python,2019
hypertable,git://github.com/hypertable/hypertable.git,21,3060,19,0,85,46,257,251,76,41,C++,2016
wasync,git://github.com/Atmosphere/wasync.git,17,561,101,0,26,19,400,155,45,24,Java,2019
RZUtils,git://github.com/Raizlabs/RZUtils.git,26,375,10,14,15,20,397,123,22,47,Objective-C,2018
sublemacspro,git://github.com/sublime-emacs/sublemacspro.git,18,289,132,0,24,22,276,533,73,25,Python,2017
jquery-oembed-all,git://github.com/starfishmod/jquery-oembed-all.git,19,210,38,0,1,47,178,389,170,22,JavaScript,2014
lettuce_webdriver,git://github.com/bbangert/lettuce_webdriver.git,26,185,7,2,6,9,292,79,35,12,Python,2016
rdl,git://github.com/rinfo/rdl.git,17,2736,123,0,13,84,278,2,2,13,Groovy,2016
coworfing,git://github.com/nukomeet/coworfing.git,28,1161,45,0,1,34,151,32,21,6,Ruby,2015
php-webdriver,git://github.com/instaclick/php-webdriver.git,20,255,59,13,35,4,421,327,53,17,PHP,2019
actuate,git://github.com/jgranick/actuate.git,18,192,35,0,14,23,413,129,56,15,Haxe,2019
cabal-dev,git://github.com/creswick/cabal-dev.git,23,241,34,0,0,47,213,150,27,12,Haskell,2015
KeyValueStore,git://github.com/doctrine/KeyValueStore.git,26,244,18,2,4,11,409,185,48,19,PHP,2019
Ushahidi_Android,git://github.com/pdestefanis/Ushahidi_Android.git,20,583,43,0,18,22,24,6,3,5,Java,2012
synfig,git://github.com/synfig/synfig.git,57,9546,328,10,87,301,448,635,135,48,C++,2019
node-soap,git://github.com/vpulim/node-soap.git,153,909,0,47,52,0,454,2438,1262,110,JavaScript,2019
atom,git://github.com/atom/atom.git,468,37331,14839,502,532,468,413,50719,13605,2471,JavaScript,2019
Products.CMFPlone,git://github.com/plone/Products.CMFPlone.git,176,4626,1320,0,194,676,429,138,157,194,Python,2019
kss-node,git://github.com/kss-node/kss-node.git,35,1231,278,26,61,92,409,1480,302,49,JavaScript,2019
jffi,git://github.com/jnr/jffi.git,30,855,12,0,46,27,437,122,51,26,C,2019
LittleProxy,git://github.com/adamfisk/LittleProxy.git,44,1003,177,5,18,76,352,1663,668,153,PHP,2017
