Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
Scroller,git://github.com/DataTables/Scroller.git,14,215,36,0,20,15,445,72,57,9,JavaScript,2019
backbone-tastypie,git://github.com/PaulUithol/backbone-tastypie.git,10,75,21,1,1,9,169,482,83,24,JavaScript,2014
Substrate,git://github.com/minecraft-dotnet/Substrate.git,14,303,9,1,47,15,320,141,52,22,C#,2017
Multiverse-Inventories,git://github.com/Multiverse/Multiverse-Inventories.git,11,527,296,0,0,25,413,43,50,13,Java,2019
khan-mobile,git://github.com/Khan/khan-mobile.git,9,240,105,0,0,23,147,246,36,102,JavaScript,2014
scielo-manager,git://github.com/scieloorg/scielo-manager.git,13,2853,436,71,87,60,331,15,12,13,Python,2017
pavo,git://github.com/rmaia/pavo.git,9,2494,67,12,19,20,411,16,7,7,R,2019
WPN-XM,git://github.com/WPN-XM/WPN-XM.git,8,1756,624,9,17,27,423,277,51,25,Inno Setup,2019
jruby-parser,git://github.com/jruby/jruby-parser.git,14,269,19,0,12,10,449,39,17,22,Java,2019
TICoreDataSync,git://github.com/nothirst/TICoreDataSync.git,8,692,60,0,5,25,117,829,64,57,Objective-C,2013
rtc,git://github.com/plum-umd/rtc.git,9,408,42,0,0,14,231,82,4,10,Ruby,2016
webL10n,git://github.com/fabi1cazenave/webL10n.git,12,162,21,0,0,21,196,263,75,14,JavaScript,2015
CSV2IATI,git://github.com/IATI/CSV2IATI.git,13,327,147,0,9,54,330,4,4,8,CoffeeScript,2018
dojango,git://github.com/klipstein/dojango.git,14,228,86,0,5,18,147,65,20,10,Python,2014
exp4j,git://github.com/fasseg/exp4j.git,11,493,50,0,32,16,439,276,105,40,Java,2019
PyMultiNest,git://github.com/JohannesBuchner/PyMultiNest.git,11,259,108,0,0,19,427,111,61,16,Python,2019
winp,git://github.com/kohsuke/winp.git,14,303,17,0,30,9,445,48,25,7,Java,2019
shortimer,git://github.com/code4lib/shortimer.git,12,306,23,0,0,18,236,40,16,4,JavaScript,2016
fancybox-for-wordpress,git://github.com/ColorlibHQ/fancybox-for-wordpress.git,10,180,33,2,2,12,440,28,22,7,PHP,2019
gtfs,git://github.com/nerdEd/gtfs.git,12,102,4,2,2,6,232,61,34,8,Ruby,2016
ofxFenster,git://github.com/underdoeg/ofxFenster.git,17,194,20,1,1,29,243,80,29,15,C++,2016
pattern,git://github.com/clips/pattern.git,27,1433,71,0,1,107,380,7249,1434,568,Python,2018
pyswf,git://github.com/timknip/pyswf.git,21,110,9,0,5,17,316,130,55,18,Python,2017
jquery-oembed-all,git://github.com/starfishmod/jquery-oembed-all.git,19,210,38,0,1,47,178,389,170,22,JavaScript,2014
kobuki,git://github.com/yujinrobot/kobuki.git,22,1366,312,0,50,30,411,119,121,30,C++,2019
redaxo4,git://github.com/redaxo/redaxo4.git,27,2813,273,5,29,37,443,45,29,15,PHP,2019
tlslite,git://github.com/trevp/tlslite.git,15,410,16,0,5,9,185,226,69,20,Python,2015
online_test,git://github.com/FOSSEE/online_test.git,23,1946,165,9,9,68,421,133,118,32,JavaScript,2019
backbone.validation,git://github.com/thedersen/backbone.validation.git,22,490,176,0,28,58,201,1356,317,50,JavaScript,2015
validity,git://github.com/whatgoodisaroad/validity.git,16,184,33,0,0,10,371,135,83,25,JavaScript,2018
pragyan,git://github.com/delta/pragyan.git,16,266,140,0,0,51,455,62,56,14,PHP,2019
libhttpserver,git://github.com/etr/libhttpserver.git,22,767,97,0,23,10,409,324,98,35,C++,2019
neo4jphp,git://github.com/jadell/neo4jphp.git,21,347,103,0,8,28,248,541,138,49,PHP,2016
evans,git://github.com/skanev/evans.git,28,1211,46,0,1,37,428,38,31,14,Ruby,2019
twgit,git://github.com/Twenga/twgit.git,20,791,101,0,33,47,314,108,36,13,PHP,2018
babel,git://github.com/mikrobi/babel.git,17,177,98,3,15,26,409,61,36,8,PHP,2018
KhepinYamlFixturesBundle,git://github.com/khepin/KhepinYamlFixturesBundle.git,21,187,20,3,17,10,286,58,43,6,PHP,2017
jira-api-restclient,git://github.com/chobie/jira-api-restclient.git,25,179,46,0,1,32,402,208,123,23,PHP,2019
Hive-JSON-Serde,git://github.com/rcongiu/Hive-JSON-Serde.git,25,326,102,0,13,54,438,624,357,65,Java,2019
PyHamcrest,git://github.com/hamcrest/PyHamcrest.git,25,492,29,3,17,6,467,394,67,19,Python,2019
syntaxhighlighter,git://github.com/syntaxhighlighter/syntaxhighlighter.git,34,376,152,4,6,187,329,5131,1372,280,JavaScript,2017
node-hid,git://github.com/node-hid/node-hid.git,30,387,275,16,23,24,445,825,201,29,JavaScript,2019
