Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
antfs-cli,git://github.com/Tigge/antfs-cli.git,10,80,98,0,0,40,357,299,78,43,Python,2018
conky_colors,git://github.com/helmuthdu/conky_colors.git,13,165,27,0,0,12,412,103,35,11,Python,2019
browsehappy,git://github.com/WordPress/browsehappy.git,11,74,30,0,0,11,411,84,34,12,PHP,2019
spymemcached,git://github.com/couchbase/spymemcached.git,9,979,0,0,100,0,324,162,98,27,Java,2018
visko,git://github.com/nicholasdelrio/visko.git,11,915,14,0,0,13,121,9,14,4,nesC,2014
gte,git://github.com/gambitproject/gte.git,10,257,9,0,0,28,199,70,39,15,Java,2015
paperclip_database,git://github.com/softace/paperclip_database.git,8,136,8,0,20,7,409,22,39,5,Ruby,2019
Substrate,git://github.com/minecraft-dotnet/Substrate.git,14,303,9,1,47,15,320,141,52,22,C#,2017
Centurion,git://github.com/centurion-project/Centurion.git,14,416,24,0,3,31,82,202,61,25,PHP,2012
amigaos-cross-toolchain,git://github.com/cahirwpz/amigaos-cross-toolchain.git,8,339,44,2,2,14,355,149,42,23,Python,2018
Movuca,git://github.com/rochacbruno/Movuca.git,14,580,11,0,0,16,97,110,33,9,CSS,2013
django-tracking2,git://github.com/bruth/django-tracking2.git,12,240,29,0,38,13,413,162,65,11,Python,2019
countrycode,git://github.com/vincentarelbundock/countrycode.git,12,263,130,1,5,29,433,182,52,10,R,2019
ruby-oci8,git://github.com/kubo/ruby-oci8.git,13,673,171,1,45,16,435,141,71,18,Ruby,2019
EBBlib,git://github.com/SESA/EBBlib.git,9,435,3,0,0,9,48,11,6,12,C,2012
funk,git://github.com/javafunk/funk.git,12,672,50,0,26,42,190,33,10,5,Java,2015
minicart,git://github.com/jeffharrell/minicart.git,10,354,233,0,18,64,290,494,209,49,JavaScript,2016
nabu,git://github.com/nabu-catalog/nabu.git,10,1809,545,0,1,54,441,13,7,9,Ruby,2019
ginkgo,git://github.com/progrium/ginkgo.git,14,263,35,0,3,11,84,328,51,15,Python,2012
site.ontowiki,git://github.com/AKSW/site.ontowiki.git,10,331,26,0,0,14,346,6,7,17,PHP,2018
cats-judge,git://github.com/klenin/cats-judge.git,23,991,8,0,0,18,450,12,17,8,Perl,2019
jsmess,git://github.com/jsmess/jsmess.git,20,242,53,0,1,38,250,418,48,60,Shell,2016
JSONassert,git://github.com/skyscreamer/JSONassert.git,20,207,30,6,11,37,267,678,142,49,Java,2017
SiriProxy,git://github.com/plamoni/SiriProxy.git,26,196,493,0,5,20,96,2153,376,142,Ruby,2013
umurmur,git://github.com/umurmur/umurmur.git,19,464,48,0,24,30,335,173,41,27,C,2017
mate-terminal,git://github.com/mate-desktop/mate-terminal.git,28,442,112,2,50,56,423,69,51,21,C,2019
jabberd2,git://github.com/jabberd2/jabberd2.git,21,1175,76,21,61,52,350,411,182,77,C,2018
