Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
Game,git://github.com/Uga-Agga/Game.git,10,686,40,0,0,11,344,13,5,5,PHP,2018
PrettyCSS,git://github.com/fidian/PrettyCSS.git,11,628,21,0,19,24,411,35,12,3,JavaScript,2019
oab-java6,git://github.com/flexiondotorg/oab-java6.git,14,125,83,0,21,14,103,653,134,50,Shell,2014
QuantitativeReporting,git://github.com/QIICR/QuantitativeReporting.git,10,841,132,1,1,18,414,10,16,12,Python,2019
koalixcrm,git://github.com/scaphilo/koalixcrm.git,8,832,125,1,4,57,457,354,165,45,Python,2019
ktbs,git://github.com/ktbs/ktbs.git,11,846,30,0,6,50,447,21,6,9,Python,2019
Multiverse-Portals,git://github.com/Multiverse/Multiverse-Portals.git,14,270,464,0,4,41,455,77,69,19,Java,2019
HunchWorks,git://github.com/global-pulse/HunchWorks.git,12,831,63,0,0,31,47,38,9,9,Python,2012
MobArena,git://github.com/garbagemule/MobArena.git,14,875,424,4,16,67,444,121,133,26,Java,2019
alogger,git://github.com/siberian-fast-food/alogger.git,9,315,17,0,15,19,172,49,16,5,Erlang,2014
paperclip_database,git://github.com/softace/paperclip_database.git,8,136,8,0,20,7,409,22,39,5,Ruby,2019
puppet-cron,git://github.com/torrancew/puppet-cron.git,8,102,16,0,5,3,221,40,52,3,Puppet,2016
akka-samples,git://github.com/akka/akka-samples.git,14,200,22,0,0,25,450,561,309,48,Scala,2019
simplehttp,git://github.com/bitly/simplehttp.git,10,370,13,0,1,11,140,487,74,109,C,2013
hamlbars,git://github.com/jamesotron/hamlbars.git,12,118,33,0,6,10,143,182,42,8,Ruby,2014
mongoose-auth,git://github.com/bnoguchi/mongoose-auth.git,10,105,51,0,10,45,50,759,125,23,JavaScript,2012
Fill-Column-Indicator,git://github.com/alpaker/Fill-Column-Indicator.git,10,148,40,0,8,36,448,196,27,12,Emacs Lisp,2019
BKCommonLib,git://github.com/bergerkiller/BKCommonLib.git,8,632,9,0,0,18,309,36,46,25,Java,2018
Dime,git://github.com/phpugl/Dime.git,14,368,63,0,13,17,244,33,17,4,PHP,2016
IbPy,git://github.com/blampe/IbPy.git,14,245,0,1,2,0,277,1012,429,192,Python,2017
KeenClient-iOS,git://github.com/keenlabs/KeenClient-iOS.git,22,686,81,5,48,24,282,81,54,37,C,2017
