Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
oscar,git://github.com/oscar-stack/oscar.git,12,268,26,3,29,20,408,90,39,10,Ruby,2019
TICoreDataSync,git://github.com/nothirst/TICoreDataSync.git,8,692,60,0,5,25,117,829,64,57,Objective-C,2013
frab,git://github.com/manno/frab.git,9,670,42,0,0,26,67,7,3,1,Ruby,2013
isp_unity,git://github.com/aruntomar/isp_unity.git,8,93,4,0,5,14,231,28,10,9,Ruby,2016
powerup,git://github.com/chucknorris/powerup.git,10,46,4,0,0,10,258,26,26,9,C#,2017
wp-twitter-tools,git://github.com/crowdfavorite/wp-twitter-tools.git,8,165,20,0,11,9,185,46,16,54,PHP,2015
MCTowns,git://github.com/jmhertlein/MCTowns.git,8,548,73,0,12,14,275,8,2,3,Java,2017
zip.js,git://github.com/gildas-lormeau/zip.js.git,12,275,68,0,0,89,318,2045,377,82,JavaScript,2017
Multiverse-Portals,git://github.com/Multiverse/Multiverse-Portals.git,14,270,464,0,4,41,455,77,69,19,Java,2019
flexnav,git://github.com/mrjasonweaver/flexnav.git,10,196,115,12,13,74,152,1219,430,106,CSS,2014
BigText,git://github.com/zachleat/BigText.git,13,124,42,0,10,31,351,866,166,37,JavaScript,2017
conky_colors,git://github.com/helmuthdu/conky_colors.git,13,165,27,0,0,12,412,103,35,11,Python,2019
SVSegmentedControl,git://github.com/samvermette/SVSegmentedControl.git,14,136,25,0,2,18,107,1365,201,50,Objective-C,2013
TSMiniWebBrowser,git://github.com/tonisalae/TSMiniWebBrowser.git,10,54,6,0,2,6,52,533,129,42,Objective-C,2013
fabulaws,git://github.com/caktus/fabulaws.git,11,388,5,0,7,12,445,42,4,20,Python,2019
horton,git://github.com/theochem/horton.git,13,2097,104,8,13,28,437,53,36,17,Python,2019
nginx-statsd,git://github.com/zebrafishlabs/nginx-statsd.git,8,22,4,1,1,11,231,359,95,34,C,2016
tmux-MacOSX-pasteboard,git://github.com/ChrisJohnsen/tmux-MacOSX-pasteboard.git,10,107,41,0,13,12,456,2116,74,42,C,2019
unstdlib.py,git://github.com/shazow/unstdlib.py.git,8,211,5,0,12,8,450,127,17,12,Python,2019
apt-offline,git://github.com/rickysarraf/apt-offline.git,13,1290,70,5,50,20,438,76,24,11,Python,2019
ammeter,git://github.com/alexrothenberg/ammeter.git,18,190,16,0,23,13,279,80,24,7,Ruby,2016
Cake-Resque,git://github.com/wa0x6e/Cake-Resque.git,16,369,44,2,39,27,192,160,56,18,PHP,2015
doppio,git://github.com/plasma-umass/doppio.git,29,3051,362,4,4,42,312,1885,154,82,TypeScript,2018
FMBbCodeBundle,git://github.com/helios-ag/FMBbCodeBundle.git,21,275,49,8,11,12,227,55,34,9,PHP,2016
harbor,git://github.com/sam/harbor.git,25,994,35,0,136,18,39,5,4,3,Ruby,2012
grails-routing,git://github.com/padcom/grails-routing.git,16,119,21,11,20,12,240,32,31,6,Groovy,2016
EcomDev_PHPUnit,git://github.com/EcomDev/EcomDev_PHPUnit.git,27,294,88,0,15,52,172,305,181,38,PHP,2014
elmah-mvc,git://github.com/alexbeletsky/elmah-mvc.git,21,142,38,1,1,33,343,270,67,28,C#,2017
ntwitter,git://github.com/AvianFlu/ntwitter.git,26,246,20,0,37,55,176,803,181,34,JavaScript,2014
libtorrent,git://github.com/rakshasa/libtorrent.git,24,1486,97,0,7,29,426,752,182,65,C++,2019
aws-toolkit-eclipse,git://github.com/aws/aws-toolkit-eclipse.git,25,92,92,20,25,54,468,225,145,71,Java,2019
vim-flake8,git://github.com/nvie/vim-flake8.git,22,69,29,0,7,11,409,901,95,26,Vim script,2019
BreadBoard,git://github.com/stevan/BreadBoard.git,23,363,9,0,17,9,470,24,24,7,Perl,2019
buddypress-group-email-subscription,git://github.com/boonebgorges/buddypress-group-email-subscription.git,16,778,89,0,26,35,468,29,20,8,PHP,2019
emokit,git://github.com/openyou/emokit.git,23,336,144,0,2,58,320,430,226,47,Python,2017
backbone-deep-model,git://github.com/powmedia/backbone-deep-model.git,25,137,0,0,14,0,172,662,163,24,JavaScript,2015
buddycloud-server-java,git://github.com/buddycloud/buddycloud-server-java.git,17,1503,113,5,39,50,247,65,41,24,Java,2016
CoverflowAltTab,git://github.com/dmo60/CoverflowAltTab.git,25,184,51,5,13,31,411,190,64,21,JavaScript,2019
compiler,git://github.com/pawn-lang/compiler.git,18,515,243,27,28,107,353,176,34,32,C,2018
MailCore,git://github.com/MailCore/MailCore.git,24,346,61,0,1,50,181,833,221,67,Objective-C,2014
boomerang,git://github.com/akamai/boomerang.git,31,2226,199,3,3,21,411,1362,246,94,JavaScript,2019
igv,git://github.com/igvteam/igv.git,44,6117,560,0,159,24,408,360,177,45,Java,2019
gambatte-libretro,git://github.com/libretro/gambatte-libretro.git,51,813,28,0,0,29,429,49,44,15,C++,2019
tablib,git://github.com/kennethreitz/tablib.git,87,1085,177,1,38,29,455,3599,542,143,Python,2019
artifactory-plugin,git://github.com/jenkinsci/artifactory-plugin.git,69,1821,0,0,101,0,470,79,235,146,Java,2019
lila,git://github.com/ornicar/lila.git,120,35115,3443,2,4,542,408,6161,917,223,Scala,2019
mongoid-history,git://github.com/mongoid/mongoid-history.git,44,402,79,2,43,30,457,366,124,17,Ruby,2019
backbone-rails,git://github.com/codebrew/backbone-rails.git,37,261,57,1,22,36,225,1653,273,39,Ruby,2015
objective-git,git://github.com/libgit2/objective-git.git,78,3266,147,27,30,22,457,1063,261,59,Objective-C,2019
saiku,git://github.com/OSBI/saiku.git,74,5759,533,1,89,54,428,1149,639,163,JavaScript,2019
SublimeGDB,git://github.com/quarnster/SublimeGDB.git,34,200,61,0,0,14,413,332,93,27,Python,2019
logo.js,git://github.com/voodootikigod/logo.js.git,61,211,10,0,0,7,194,781,158,23,PostScript,2015
crowbar,git://github.com/crowbar/crowbar.git,98,4996,71,0,12,41,440,759,291,103,Shell,2019
omnibus,git://github.com/chef/omnibus.git,112,2611,163,7,102,25,409,1066,254,115,Ruby,2019
mumble,git://github.com/mumble-voip/mumble.git,89,7854,920,14,31,740,458,2805,675,177,C++,2019
MutopiaProject,git://github.com/MutopiaProject/MutopiaProject.git,68,4135,201,0,0,30,428,160,95,23,LilyPond,2019
s3cmd,git://github.com/s3tools/s3cmd.git,155,1658,409,6,33,258,445,3179,777,107,Python,2019
violations-plugin,git://github.com/jenkinsci/violations-plugin.git,42,487,20,2,20,25,258,54,74,128,Java,2015
pyramid_debugtoolbar,git://github.com/Pylons/pyramid_debugtoolbar.git,61,1084,131,0,54,41,439,93,72,14,Python,2019
