Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
pure-python-otr,git://github.com/python-otr/pure-python-otr.git,9,161,38,0,8,13,334,151,22,24,Python,2018
Moodle-block_progress,git://github.com/deraadt/Moodle-block_progress.git,8,158,13,0,43,1,237,26,50,9,PHP,2016
vlc-qt,git://github.com/vlc-qt/vlc-qt.git,9,498,144,16,16,75,323,473,226,69,C++,2017
softlayer-object-storage-python,git://github.com/softlayer/softlayer-object-storage-python.git,9,97,11,0,6,15,223,21,29,16,Python,2016
alphaTab,git://github.com/CoderLine/alphaTab.git,11,962,239,0,2,41,455,504,118,47,C#,2019
Fill-Column-Indicator,git://github.com/alpaker/Fill-Column-Indicator.git,10,148,40,0,8,36,448,196,27,12,Emacs Lisp,2019
sqlabs,git://github.com/kenji4569/sqlabs.git,8,432,46,0,0,22,79,12,26,5,JavaScript,2013
imgmin,git://github.com/rflynn/imgmin.git,12,302,24,1,1,26,289,561,31,31,C,2016
play-Jug,git://github.com/Jug-Montpellier/play-Jug.git,9,90,15,0,2,13,76,11,4,9,JavaScript,2012
gift,git://github.com/sentientwaffle/gift.git,10,68,9,0,5,7,86,80,83,4,CoffeeScript,2013
WPN-XM,git://github.com/WPN-XM/WPN-XM.git,8,1756,624,9,17,27,423,277,51,25,Inno Setup,2019
minima,git://github.com/marcobarbosa/minima.git,11,269,28,0,0,19,43,46,11,3,PHP,2011
The-University-of-Melbourne-Web-Templates,git://github.com/unimelb/The-University-of-Melbourne-Web-Templates.git,8,194,18,0,4,20,96,30,18,7,JavaScript,2013
fabulaws,git://github.com/caktus/fabulaws.git,11,388,5,0,7,12,445,42,4,20,Python,2019
telobike,git://github.com/eladb/telobike.git,8,433,71,0,1,15,188,4,0,4,HTML,2014
IbPy,git://github.com/blampe/IbPy.git,14,245,0,1,2,0,277,1012,429,192,Python,2017
domino,git://github.com/fgnass/domino.git,13,467,74,0,31,12,413,552,72,22,JavaScript,2019
ConsoleBundle,git://github.com/CoreSphere/ConsoleBundle.git,14,212,26,0,6,17,342,139,60,22,PHP,2017
PyMultiNest,git://github.com/JohannesBuchner/PyMultiNest.git,11,259,108,0,0,19,427,111,61,16,Python,2019
http,git://github.com/dylan-lang/http.git,14,312,9,0,0,15,457,15,8,11,Dylan,2019
fest,git://github.com/mailru/fest.git,19,448,26,3,10,24,181,123,27,38,JavaScript,2015
HSBencher,git://github.com/iu-parfunc/HSBencher.git,15,764,37,0,11,51,295,11,8,11,Haskell,2017
recommendable,git://github.com/davidcelis/recommendable.git,20,336,82,6,9,12,326,1312,115,45,Ruby,2018
compiler,git://github.com/pawn-lang/compiler.git,18,515,243,27,28,107,353,176,34,32,C,2018
django-cbv-inspector,git://github.com/refreshoxford/django-cbv-inspector.git,20,483,56,0,0,21,410,338,51,19,Python,2019
Hive-JSON-Serde,git://github.com/rcongiu/Hive-JSON-Serde.git,25,326,102,0,13,54,438,624,357,65,Java,2019
jopt-simple,git://github.com/jopt-simple/jopt-simple.git,24,405,74,0,27,12,388,267,59,20,Java,2018
csmith,git://github.com/csmith-project/csmith.git,29,809,26,0,6,10,450,497,80,31,C++,2019
bumblebee-Old-and-abbandoned,git://github.com/MrMEEE/bumblebee-Old-and-abbandoned.git,26,602,561,0,0,18,347,414,51,13,Shell,2018
jade-mode,git://github.com/brianc/jade-mode.git,22,122,18,0,1,13,283,160,43,5,Emacs Lisp,2016
podio-py,git://github.com/podio/podio-py.git,28,106,10,0,0,11,360,45,66,50,Python,2018
osm-tasking-manager,git://github.com/hotosm/osm-tasking-manager.git,18,752,106,0,3,95,157,84,27,12,CSS,2014
zaw,git://github.com/zsh-users/zaw.git,29,301,29,0,0,10,387,467,68,28,Shell,2018
rack-webconsole,git://github.com/codegram/rack-webconsole.git,21,114,20,0,10,12,299,250,48,12,Ruby,2017
GrinnellPlans,git://github.com/grinnellplans/GrinnellPlans.git,16,493,63,0,0,30,458,26,16,19,Ruby,2019
factory_boy,git://github.com/FactoryBoy/factory_boy.git,29,764,293,0,37,92,447,1992,270,41,Python,2019
MassiveUnit,git://github.com/massiveinteractive/MassiveUnit.git,21,357,91,1,50,20,470,162,49,87,Haxe,2019
CaseConversion,git://github.com/jdavisclark/CaseConversion.git,16,77,10,0,0,15,299,269,40,5,Python,2017
fixture-factory,git://github.com/six2six/fixture-factory.git,29,285,38,2,7,20,453,339,80,51,Java,2019
shellshape,git://github.com/timbertson/shellshape.git,18,357,130,0,23,58,355,412,43,25,TypeScript,2018
pluma,git://github.com/mate-desktop/pluma.git,34,711,147,5,61,75,421,79,39,21,C,2019
XVim,git://github.com/XVimProject/XVim.git,106,1558,460,3,5,301,308,5247,666,245,Objective-C,2018
headphones,git://github.com/rembo10/headphones.git,153,2803,2266,22,34,465,448,2853,642,216,Python,2019
django-dynamic-fixture,git://github.com/paulocheque/django-dynamic-fixture.git,30,228,32,0,19,17,400,290,44,14,Python,2019
scalacheck,git://github.com/rickynils/scalacheck.git,95,1318,214,3,44,59,447,1598,345,70,Scala,2019
ps3mediaserver,git://github.com/ps3mediaserver/ps3mediaserver.git,35,2359,21,0,31,23,294,526,232,106,Java,2017
calabash-ios-server,git://github.com/calabash/calabash-ios-server.git,37,2456,38,0,44,22,413,82,75,21,Objective-C,2019
collective.plonetruegallery,git://github.com/collective/collective.plonetruegallery.git,31,487,25,0,34,13,409,11,21,121,Python,2019
sentry-javascript,git://github.com/getsentry/sentry-javascript.git,133,3267,1150,158,223,131,411,4253,777,95,JavaScript,2019
joshua,git://github.com/joshua-decoder/joshua.git,40,3658,77,3,28,39,255,121,59,19,,2016
onebusaway-iphone,git://github.com/OneBusAway/onebusaway-iphone.git,33,2544,558,35,45,66,409,212,121,30,Objective-C,2019
jack,git://github.com/LiveRamp/jack.git,47,1614,23,0,7,12,456,68,62,73,Java,2019
arduino-eclipse-plugin,git://github.com/Sloeber/arduino-eclipse-plugin.git,41,1980,857,10,11,25,422,317,128,67,Java,2019
markdown-redcarpet.tmbundle,git://github.com/streeter/markdown-redcarpet.tmbundle.git,31,383,10,0,0,10,220,72,31,7,Python,2015
profile-sync-daemon,git://github.com/graysky2/profile-sync-daemon.git,33,666,146,0,134,18,413,566,54,29,Shell,2019
i18n-node,git://github.com/mashpie/i18n-node.git,55,462,148,2,16,135,456,2467,406,38,JavaScript,2019
spark,git://github.com/perwendel/spark.git,117,977,533,0,21,158,448,8574,1490,438,Java,2019
czmq,git://github.com/zeromq/czmq.git,198,4682,471,22,22,9,454,814,442,108,C,2019
canjs,git://github.com/canjs/canjs.git,208,11192,1835,142,316,281,413,1782,411,114,JavaScript,2019
