Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
emacs-edbi,git://github.com/kiwanami/emacs-edbi.git,9,73,21,0,3,15,210,259,28,14,Emacs Lisp,2016
ML_for_Hackers,git://github.com/johnmyleswhite/ML_for_Hackers.git,10,88,6,0,0,20,96,3540,2237,482,R,2013
Centurion,git://github.com/centurion-project/Centurion.git,14,416,24,0,3,31,82,202,61,25,PHP,2012
winp,git://github.com/kohsuke/winp.git,14,303,17,0,30,9,445,48,25,7,Java,2019
nanoblocks,git://github.com/nanoblocks/nanoblocks.git,10,278,56,0,2,11,145,33,5,8,JavaScript,2014
cmb_field_map,git://github.com/mustardBees/cmb_field_map.git,8,59,31,14,14,20,343,110,49,15,PHP,2018
badwolf,git://github.com/sjl/badwolf.git,13,71,8,0,9,11,408,1067,202,41,Vim script,2019
wp-autoresponder,git://github.com/nodesman/wp-autoresponder.git,14,401,144,0,5,162,217,38,22,11,PHP,2015
gte,git://github.com/gambitproject/gte.git,10,257,9,0,0,28,199,70,39,15,Java,2015
koalixcrm,git://github.com/scaphilo/koalixcrm.git,8,832,125,1,4,57,457,354,165,45,Python,2019
jruby-parser,git://github.com/jruby/jruby-parser.git,14,269,19,0,12,10,449,39,17,22,Java,2019
alphaTab,git://github.com/CoderLine/alphaTab.git,11,962,239,0,2,41,455,504,118,47,C#,2019
phenotypes2genotypes,git://github.com/KonradZych/phenotypes2genotypes.git,9,1081,39,0,21,13,362,4,5,2,R,2018
morpheus,git://github.com/ded/morpheus.git,14,122,22,0,2,12,167,504,59,17,JavaScript,2014
phreeze,git://github.com/jasonhinkle/phreeze.git,13,480,97,1,1,169,205,378,179,52,PHP,2016
box2d.js,git://github.com/kripken/box2d.js.git,13,87,25,0,0,58,408,946,160,45,C,2019
jenkins-control-plugin,git://github.com/dboissier/jenkins-control-plugin.git,13,489,82,0,27,76,341,161,90,20,Java,2017
zsh-history-substring-search,git://github.com/zsh-users/zsh-history-substring-search.git,11,136,60,2,3,14,447,1118,81,34,Shell,2019
Most-Pixels-Ever-Processing,git://github.com/shiffman/Most-Pixels-Ever-Processing.git,12,342,35,4,4,23,285,270,70,47,Java,2016
PrettyCSS,git://github.com/fidian/PrettyCSS.git,11,628,21,0,19,24,411,35,12,3,JavaScript,2019
todo.txt-vim,git://github.com/freitass/todo.txt-vim.git,21,141,22,0,0,13,284,337,92,21,VimL,2016
C-Thread-Pool,git://github.com/Pithikos/C-Thread-Pool.git,18,207,20,0,0,24,423,869,365,66,C,2019
jquery.kinetic,git://github.com/davetayls/jquery.kinetic.git,17,202,70,0,18,13,374,426,94,16,JavaScript,2018
atlas-lb,git://github.com/rackerlabs/atlas-lb.git,28,3674,1,0,22,0,440,21,25,192,Java,2019
spm,git://github.com/spmjs/spm.git,20,1345,1291,11,91,29,377,919,192,118,JavaScript,2018
node-mbtiles,git://github.com/mapbox/node-mbtiles.git,17,344,46,2,61,5,449,190,60,88,JavaScript,2019
WPThumb,git://github.com/humanmade/WPThumb.git,15,288,69,0,2,20,260,186,34,21,PHP,2016
streaming-system,git://github.com/timvideos/streaming-system.git,21,702,32,0,0,44,387,107,49,30,Python,2018
spring-shell,git://github.com/spring-projects/spring-shell.git,25,435,112,1,18,61,409,430,301,70,Java,2019
pelita,git://github.com/ASPP/pelita.git,19,2851,290,0,14,39,449,48,55,9,Python,2019
RMySQL,git://github.com/r-dbi/RMySQL.git,16,397,132,14,14,47,412,192,109,31,C,2019
CFML-in-100-minutes,git://github.com/mhenke/CFML-in-100-minutes.git,22,359,7,0,0,13,342,90,30,10,,2017
python-readability,git://github.com/buriy/python-readability.git,29,161,56,7,12,17,450,1719,293,107,HTML,2019
tup,git://github.com/gittup/tup.git,16,2591,116,0,17,120,394,813,112,45,C,2018
pnmixer,git://github.com/nicklan/pnmixer.git,16,614,101,7,16,18,370,125,31,10,C,2018
mothur,git://github.com/mothur/mothur.git,22,2793,540,35,45,20,409,176,85,36,C++,2019
flowWorkspace,git://github.com/RGLab/flowWorkspace.git,20,3057,257,2,2,32,409,28,13,11,R,2019
chocolatey,git://github.com/chocolatey/chocolatey.git,24,820,437,0,33,138,303,2814,349,216,PowerShell,2017
war,git://github.com/taoneill/war.git,19,712,572,1,35,219,415,64,83,14,Java,2018
normalize-scss,git://github.com/JohnAlbin/normalize-scss.git,24,741,58,12,31,17,311,1395,250,55,CSS,2018
httpbin,git://github.com/requests/httpbin.git,95,841,235,4,30,70,389,8323,1243,223,Python,2018
s3cmd,git://github.com/s3tools/s3cmd.git,155,1658,409,6,33,258,445,3179,777,107,Python,2019
sbt-assembly,git://github.com/sbt/sbt-assembly.git,62,528,208,8,45,63,445,1578,182,64,Scala,2019
