Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
WebViewer,git://github.com/OpenWebGlobe/WebViewer.git,13,939,7,0,0,9,242,143,73,38,JavaScript,2015
alogger,git://github.com/siberian-fast-food/alogger.git,9,315,17,0,15,19,172,49,16,5,Erlang,2014
SolrSearch,git://github.com/scholarslab/SolrSearch.git,13,917,111,5,10,15,219,19,24,5,PHP,2015
conky_colors,git://github.com/helmuthdu/conky_colors.git,13,165,27,0,0,12,412,103,35,11,Python,2019
monitoring,git://github.com/sebastien/monitoring.git,8,102,7,0,0,11,406,431,59,30,Python,2018
morpheus,git://github.com/ded/morpheus.git,14,122,22,0,2,12,167,504,59,17,JavaScript,2014
redmine_hipchat,git://github.com/hipchat/redmine_hipchat.git,8,24,7,0,0,12,151,66,46,23,Ruby,2014
grails-coffeescript-resources,git://github.com/edvinasbartkus/grails-coffeescript-resources.git,11,41,10,0,0,12,91,21,11,3,Groovy,2013
pocketio,git://github.com/vti/pocketio.git,12,182,14,0,15,7,336,100,22,11,Perl,2017
node-nikita,git://github.com/adaltas/node-nikita.git,13,2157,106,0,185,14,409,46,13,13,CoffeeScript,2019
HtmlSpanner,git://github.com/NightWhistler/HtmlSpanner.git,8,113,27,0,3,27,413,635,165,24,Java,2019
CalendR,git://github.com/yohang/CalendR.git,8,238,17,1,17,9,413,449,55,26,PHP,2019
Gyazz,git://github.com/masui/Gyazz.git,8,436,53,0,0,33,185,48,12,6,JavaScript,2014
tools,git://github.com/raspberrypi/tools.git,13,88,44,0,0,34,411,1359,727,220,C++,2019
python-hpilo,git://github.com/seveas/python-hpilo.git,8,381,122,0,47,17,420,240,82,39,Python,2019
powerup,git://github.com/chucknorris/powerup.git,10,46,4,0,0,10,258,26,26,9,C#,2017
domino,git://github.com/fgnass/domino.git,13,467,74,0,31,12,413,552,72,22,JavaScript,2019
ginkgo,git://github.com/progrium/ginkgo.git,14,263,35,0,3,11,84,328,51,15,Python,2012
backboneboilerplate,git://github.com/thomasdavis/backboneboilerplate.git,11,103,22,0,0,13,82,589,104,37,JavaScript,2013
citeproc-py,git://github.com/brechtm/citeproc-py.git,8,355,26,0,4,26,332,80,31,10,Python,2018
GrinnellPlans,git://github.com/grinnellplans/GrinnellPlans.git,16,493,63,0,0,30,458,26,16,19,Ruby,2019
svtplay-dl,git://github.com/spaam/svtplay-dl.git,23,2196,744,0,74,232,459,451,81,40,Python,2019
smooks,git://github.com/smooks/smooks.git,25,252,27,1,9,34,467,265,301,51,Java,2019
neo4jphp,git://github.com/jadell/neo4jphp.git,21,347,103,0,8,28,248,541,138,49,PHP,2016
Gecko-Profiler-Addon,git://github.com/bgirard/Gecko-Profiler-Addon.git,26,679,8,0,0,28,288,53,36,6,JavaScript,2017
HSBencher,git://github.com/iu-parfunc/HSBencher.git,15,764,37,0,11,51,295,11,8,11,Haskell,2017
