Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
LARSAdController,git://github.com/larsacus/LARSAdController.git,13,155,94,5,14,17,294,280,64,26,Objective-C,2017
hamlbars,git://github.com/jamesotron/hamlbars.git,12,118,33,0,6,10,143,182,42,8,Ruby,2014
documentation,git://github.com/citation-style-language/documentation.git,9,561,21,0,0,22,190,13,14,5,Python,2014
jIRCBot,git://github.com/Hive13/jIRCBot.git,9,305,21,0,0,16,336,5,2,2,Java,2017
fish,git://github.com/jorgearanda/fish.git,8,433,160,0,1,22,433,3,5,3,JavaScript,2019
nanoblocks,git://github.com/nanoblocks/nanoblocks.git,10,278,56,0,2,11,145,33,5,8,JavaScript,2014
HtmlSpanner,git://github.com/NightWhistler/HtmlSpanner.git,8,113,27,0,3,27,413,635,165,24,Java,2019
Multiverse-Inventories,git://github.com/Multiverse/Multiverse-Inventories.git,11,527,296,0,0,25,413,43,50,13,Java,2019
PyMultiNest,git://github.com/JohannesBuchner/PyMultiNest.git,11,259,108,0,0,19,427,111,61,16,Python,2019
jenkins-control-plugin,git://github.com/dboissier/jenkins-control-plugin.git,13,489,82,0,27,76,341,161,90,20,Java,2017
Arelle,git://github.com/Arelle/Arelle.git,12,2496,0,0,10,0,443,227,151,62,Python,2019
twitter-bootstrap-helper,git://github.com/loadsys/twitter-bootstrap-helper.git,10,95,9,0,0,14,104,176,61,31,PHP,2014
LuMicuLa,git://github.com/phaidon/LuMicuLa.git,9,53,16,0,0,14,163,6,2,4,PHP,2014
AutoReferee,git://github.com/rmct/AutoReferee.git,12,1051,156,5,24,47,272,28,17,13,Java,2017
Pure64,git://github.com/ReturnInfinity/Pure64.git,8,542,23,3,5,14,392,418,73,50,C,2018
gladius-core,git://github.com/gladiusjs/gladius-core.git,12,1198,79,0,5,44,71,457,45,11,JavaScript,2012
Flocking,git://github.com/colinbdclark/Flocking.git,14,1305,154,7,9,53,455,572,61,36,JavaScript,2019
IRC-Bot,git://github.com/super3/IRC-Bot.git,12,135,21,0,1,22,157,108,51,12,PHP,2015
rainbow,git://github.com/nicoulaj/rainbow.git,8,350,45,0,15,17,420,194,28,8,Python,2019
kanban-list,git://github.com/volpe28v/kanban-list.git,11,616,58,0,0,23,389,94,20,8,JavaScript,2018
schema_validations,git://github.com/SchemaPlus/schema_validations.git,18,473,23,0,22,17,384,156,27,14,Ruby,2018
pontarius-xmpp,git://github.com/pontarius/pontarius-xmpp.git,15,730,47,1,15,37,439,52,15,6,Haskell,2019
wasync,git://github.com/Atmosphere/wasync.git,17,561,101,0,26,19,400,155,45,24,Java,2019
json_spec,git://github.com/collectiveidea/json_spec.git,19,181,38,0,18,7,305,903,110,24,Ruby,2017
ammo.js,git://github.com/kripken/ammo.js.git,19,390,84,0,2,107,446,2051,278,116,C++,2019
bean,git://github.com/fat/bean.git,27,342,54,0,12,25,220,1380,124,43,JavaScript,2015
fast-export,git://github.com/frej/fast-export.git,23,474,116,14,14,6,424,626,176,25,Python,2019
exitwp,git://github.com/thomasf/exitwp.git,26,111,18,0,0,22,455,662,126,17,Python,2019
validity,git://github.com/whatgoodisaroad/validity.git,16,184,33,0,0,10,371,135,83,25,JavaScript,2018
community_plugins,git://github.com/Elgg/community_plugins.git,15,399,50,0,0,33,449,18,18,10,PHP,2019
KeenClient-iOS,git://github.com/keenlabs/KeenClient-iOS.git,22,686,81,5,48,24,282,81,54,37,C,2017
puppet-cups,git://github.com/mosen/puppet-cups.git,22,150,30,0,11,14,271,36,47,23,Ruby,2017
auto-pairs,git://github.com/jiangmiao/auto-pairs.git,20,177,119,0,25,98,447,2393,266,42,Vim script,2019
geany-themes,git://github.com/codebrainz/geany-themes.git,15,208,13,0,1,10,460,506,136,43,Python,2019
chef-rundeck,git://github.com/oswaldlabs/chef-rundeck.git,18,144,28,0,3,15,257,98,88,22,Ruby,2015
yanel,git://github.com/wyona/yanel.git,24,9466,25,0,0,50,427,10,4,5,Java,2019
sublemacspro,git://github.com/sublime-emacs/sublemacspro.git,18,289,132,0,24,22,276,533,73,25,Python,2017
symmetric-encryption,git://github.com/rocketjob/symmetric-encryption.git,15,256,82,0,33,14,413,415,71,28,Ruby,2019
bulk_extractor,git://github.com/simsong/bulk_extractor.git,24,1524,46,3,14,38,400,383,104,62,C++,2019
xcoder,git://github.com/rayh/xcoder.git,17,496,29,0,37,8,165,422,72,12,Ruby,2014
bigbluebutton,git://github.com/mconf/bigbluebutton.git,85,7987,219,0,5,81,192,36,32,19,Java,2014
TripFab,git://github.com/tripfab/TripFab.git,78,5265,681,0,0,13,33,1,2,12,PHP,2012
Haskell-Pipes-Library,git://github.com/Gabriel439/Haskell-Pipes-Library.git,44,1097,87,7,19,7,414,415,70,32,Haskell,2019
