Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
typhoon,git://github.com/culanth/typhoon.git,12,1695,325,0,36,14,454,2,0,2,JavaScript,2019
protobuf,git://github.com/chrisdew/protobuf.git,13,1539,23,3,3,12,415,223,78,18,C++,2019
fish,git://github.com/jorgearanda/fish.git,8,433,160,0,1,22,433,3,5,3,JavaScript,2019
sencha-SlideNavigation,git://github.com/wnielson/sencha-SlideNavigation.git,9,74,32,0,0,30,135,273,122,41,JavaScript,2014
tools,git://github.com/raspberrypi/tools.git,13,88,44,0,0,34,411,1359,727,220,C++,2019
minima,git://github.com/marcobarbosa/minima.git,11,269,28,0,0,19,43,46,11,3,PHP,2011
these,git://github.com/isomorphism/these.git,14,235,34,0,13,7,409,92,32,8,Haskell,2019
nexmo-java,git://github.com/Nexmo/nexmo-java.git,13,314,96,28,28,12,411,63,65,31,Java,2019
LinksPlatform,git://github.com/Konard/LinksPlatform.git,9,1261,83,7,7,258,409,26,4,16,C#,2019
EMMA,git://github.com/domaubert/EMMA.git,9,777,30,0,1,14,328,2,0,3,C,2017
ruby-oci8,git://github.com/kubo/ruby-oci8.git,13,673,171,1,45,16,435,141,71,18,Ruby,2019
gimp-plugin-bimp,git://github.com/alessandrofrancesconi/gimp-plugin-bimp.git,13,173,145,9,11,68,402,386,50,37,C,2019
metriks,git://github.com/eric/metriks.git,14,189,11,0,29,5,273,483,50,12,Ruby,2017
doorman,git://github.com/movableink/doorman.git,14,105,6,0,2,14,225,168,58,47,JavaScript,2016
contao-changelanguage,git://github.com/terminal42/contao-changelanguage.git,11,366,133,17,35,8,411,32,26,14,PHP,2019
wp-autoresponder,git://github.com/nodesman/wp-autoresponder.git,14,401,144,0,5,162,217,38,22,11,PHP,2015
countrycode,git://github.com/vincentarelbundock/countrycode.git,12,263,130,1,5,29,433,182,52,10,R,2019
TSMiniWebBrowser,git://github.com/tonisalae/TSMiniWebBrowser.git,10,54,6,0,2,6,52,533,129,42,Objective-C,2013
pycparserext,git://github.com/inducer/pycparserext.git,10,103,20,0,4,14,413,49,15,10,Python,2019
backboneboilerplate,git://github.com/thomasdavis/backboneboilerplate.git,11,103,22,0,0,13,82,589,104,37,JavaScript,2013
