Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
oscar,git://github.com/oscar-stack/oscar.git,12,268,26,3,29,20,408,90,39,10,Ruby,2019
Pyrseas,git://github.com/perseas/Pyrseas.git,14,706,147,0,18,25,453,254,46,17,Python,2019
OpenVSP,git://github.com/OpenVSP/OpenVSP.git,10,4142,80,0,71,27,414,240,177,35,C,2019
powerup,git://github.com/chucknorris/powerup.git,10,46,4,0,0,10,258,26,26,9,C#,2017
django-boundaryservice,git://github.com/newsapps/django-boundaryservice.git,11,103,6,0,3,24,154,82,40,10,Python,2014
templeton,git://github.com/hortonworks/templeton.git,13,493,32,0,5,29,145,10,4,696,Java,2014
fabulaws,git://github.com/caktus/fabulaws.git,11,388,5,0,7,12,445,42,4,20,Python,2019
Oakling,git://github.com/oakling/Oakling.git,13,531,41,0,0,13,112,2,0,1,JavaScript,2014
DiskLruCache,git://github.com/JakeWharton/DiskLruCache.git,13,136,35,0,9,17,229,5232,1124,266,Java,2016
jaws,git://github.com/jaws-project/jaws.git,11,10721,155,0,0,23,422,32,15,20,PHP,2019
http,git://github.com/dylan-lang/http.git,14,312,9,0,0,15,457,15,8,11,Dylan,2019
CDOT-Dashboard,git://github.com/jbuck/CDOT-Dashboard.git,10,126,20,0,1,17,2,8,5,6,JavaScript,2011
BeSimpleSoapBundle,git://github.com/BeSimple/BeSimpleSoapBundle.git,11,276,60,0,9,32,203,65,65,13,PHP,2015
python-hpilo,git://github.com/seveas/python-hpilo.git,8,381,122,0,47,17,420,240,82,39,Python,2019
customizer,git://github.com/kamilion/customizer.git,14,804,155,4,13,24,428,224,82,32,Python,2019
oigame,git://github.com/alabs/oigame.git,14,2609,182,0,1,62,249,41,14,16,Ruby,2016
BKCommonLib,git://github.com/bergerkiller/BKCommonLib.git,8,632,9,0,0,18,309,36,46,25,Java,2018
mirah-parser,git://github.com/mirah/mirah-parser.git,9,143,10,0,0,10,290,6,8,10,Ruby,2016
api,git://github.com/nodejs-es/api.git,10,192,4,0,1,33,59,27,7,2,JavaScript,2012
pavo,git://github.com/rmaia/pavo.git,9,2494,67,12,19,20,411,16,7,7,R,2019
testlink-java-api,git://github.com/kinow/testlink-java-api.git,19,296,0,0,22,0,429,60,87,22,Java,2019
SiriProxy,git://github.com/plamoni/SiriProxy.git,26,196,493,0,5,20,96,2153,376,142,Ruby,2013
social-connect,git://github.com/rodrigoprimo/social-connect.git,22,317,26,0,19,17,271,76,44,18,PHP,2016
angular-seed,git://github.com/angular/angular-seed.git,16,207,203,0,0,9,411,13362,7360,748,JavaScript,2018
ToMaTo,git://github.com/GLab/ToMaTo.git,15,5313,703,0,68,138,311,30,18,9,Python,2017
ulatencyd,git://github.com/poelzi/ulatencyd.git,15,881,25,3,17,19,380,229,29,36,C,2018
grails-routing,git://github.com/padcom/grails-routing.git,16,119,21,11,20,12,240,32,31,6,Groovy,2016
chai-jquery,git://github.com/chaijs/chai-jquery.git,19,91,30,2,11,7,351,360,75,18,JavaScript,2018
JSONassert,git://github.com/skyscreamer/JSONassert.git,20,207,30,6,11,37,267,678,142,49,Java,2017
doppio,git://github.com/plasma-umass/doppio.git,29,3051,362,4,4,42,312,1885,154,82,TypeScript,2018
backbone.paginator,git://github.com/backbone-paginator/backbone.paginator.git,23,420,195,0,21,19,343,1453,280,55,JavaScript,2018
vim-buffergator,git://github.com/jeetsukumaran/vim-buffergator.git,16,201,19,0,18,50,360,430,45,12,Vim script,2018
magnum,git://github.com/mosra/magnum.git,21,7411,226,10,18,34,469,2764,291,188,C++,2019
dotnetinstaller,git://github.com/dotnetinstaller/dotnetinstaller.git,23,683,29,4,7,37,402,160,72,13,C++,2019
cubeb,git://github.com/kinetiknz/cubeb.git,29,1314,78,0,1,53,441,204,61,18,C++,2019
redaxo4,git://github.com/redaxo/redaxo4.git,27,2813,273,5,29,37,443,45,29,15,PHP,2019
luerl,git://github.com/rvirding/luerl.git,19,339,51,0,4,19,409,717,110,68,Erlang,2019
Byzantium,git://github.com/Byzantium/Byzantium.git,15,1373,185,1,3,34,180,262,43,112,C,2014
drupalcores,git://github.com/ericduran/drupalcores.git,22,167,22,0,1,12,172,36,75,10,Ruby,2015
vermont,git://github.com/tumi8/vermont.git,25,1273,20,0,2,13,459,46,18,17,C++,2019
overcommit,git://github.com/brigade/overcommit.git,38,1571,328,36,83,40,456,3142,238,94,Ruby,2019
capybara-webkit,git://github.com/thoughtbot/capybara-webkit.git,72,778,705,0,60,24,396,1998,450,91,Ruby,2018
three.dart,git://github.com/threeDart/three.dart.git,31,478,64,0,1,23,162,335,122,32,Dart,2015
Flickr4Java,git://github.com/boncey/Flickr4Java.git,38,370,293,15,18,11,412,154,120,22,Java,2019
express-validator,git://github.com/express-validator/express-validator.git,71,814,521,92,92,62,426,4088,442,61,TypeScript,2019
hedis,git://github.com/informatikr/hedis.git,30,557,45,0,58,20,460,264,62,7,Haskell,2019
tmLQCD,git://github.com/etmc/tmLQCD.git,42,3625,134,0,58,108,412,25,42,22,C,2019
silverstripe-tagfield,git://github.com/silverstripe/silverstripe-tagfield.git,35,202,46,15,30,16,468,54,63,21,PHP,2019
pyjwt,git://github.com/jpadilla/pyjwt.git,44,549,183,24,30,58,458,3015,382,56,Python,2019
ios-sim,git://github.com/ios-control/ios-sim.git,40,309,153,31,48,36,470,1362,239,88,JavaScript,2019
GPUImage,git://github.com/BradLarson/GPUImage.git,164,1082,1294,3,8,899,223,18974,4490,754,Objective-C,2016
sheepdog,git://github.com/sheepdog/sheepdog.git,34,3652,104,0,80,125,368,843,245,133,C,2018
riak_cs,git://github.com/basho/riak_cs.git,43,3285,331,4,53,123,223,538,97,125,Erlang,2016
Hotot,git://github.com/lyricat/Hotot.git,89,2241,261,0,7,152,202,504,144,37,JavaScript,2015
shoulda-context,git://github.com/thoughtbot/shoulda-context.git,46,663,30,0,13,3,468,127,47,42,Ruby,2019
orm,git://github.com/fuel/orm.git,88,2351,216,0,14,18,453,144,99,20,PHP,2019
plone.app.layout,git://github.com/plone/plone.app.layout.git,129,1499,28,0,162,19,429,8,29,158,Python,2019
salt-contrib,git://github.com/saltstack/salt-contrib.git,90,485,12,0,0,17,353,162,178,64,Python,2018
