Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
devilspie2,git://github.com/gusnan/devilspie2.git,8,700,11,0,36,15,142,71,7,7,C,2014
Jeeqs,git://github.com/Jeeqs/Jeeqs.git,11,742,137,0,0,41,153,4,6,5,JavaScript,2015
goose,git://github.com/GravityLabs/goose.git,12,197,30,0,32,48,258,1529,344,93,Scala,2015
instant-markdown-d,git://github.com/suan/instant-markdown-d.git,12,74,14,2,4,17,408,136,94,6,CSS,2019
CouchCocoa,git://github.com/couchbaselabs/CouchCocoa.git,12,268,14,0,8,25,169,220,70,146,Objective-C,2014
RosYama.2,git://github.com/RosYama/RosYama.2.git,9,632,9,0,0,16,198,104,41,12,HTML,2015
django-tracking2,git://github.com/bruth/django-tracking2.git,12,240,29,0,38,13,413,162,65,11,Python,2019
smoke.js,git://github.com/hxgf/smoke.js.git,9,56,24,0,0,14,364,938,112,27,JavaScript,2018
bartendro,git://github.com/partyrobotics/bartendro.git,12,781,115,0,8,44,467,152,81,33,Python,2019
traceroute,git://github.com/amatsuda/traceroute.git,10,153,12,0,14,8,390,735,29,15,Ruby,2018
mikidown,git://github.com/ShadowKyogre/mikidown.git,9,399,51,0,22,15,231,104,24,7,Python,2016
Sequence,git://github.com/IanLunn/Sequence.git,12,286,227,10,11,35,188,3377,513,157,JavaScript,2015
neoclipse,git://github.com/neo4j-contrib/neoclipse.git,13,384,16,0,0,55,186,204,143,51,Java,2014
ktbs,git://github.com/ktbs/ktbs.git,11,846,30,0,6,50,447,21,6,9,Python,2019
phenotypes2genotypes,git://github.com/KonradZych/phenotypes2genotypes.git,9,1081,39,0,21,13,362,4,5,2,R,2018
softlayer-object-storage-php,git://github.com/softlayer/softlayer-object-storage-php.git,14,54,4,0,0,15,182,28,19,12,PHP,2015
stanford-core-nlp,git://github.com/louismullie/stanford-core-nlp.git,10,199,23,0,0,15,263,418,68,34,Ruby,2017
hamlbars,git://github.com/jamesotron/hamlbars.git,12,118,33,0,6,10,143,182,42,8,Ruby,2014
sly,git://github.com/darsain/sly.git,8,322,186,0,22,63,181,2890,523,160,JavaScript,2015
puppet-cron,git://github.com/torrancew/puppet-cron.git,8,102,16,0,5,3,221,40,52,3,Puppet,2016
wasync,git://github.com/Atmosphere/wasync.git,17,561,101,0,26,19,400,155,45,24,Java,2019
iActiveRecord,git://github.com/AlexDenisov/iActiveRecord.git,19,332,36,0,10,17,244,361,55,22,C,2016
We-Work-In-Philly,git://github.com/alexknowshtml/We-Work-In-Philly.git,18,644,25,0,0,27,127,8,14,7,Ruby,2013
MailCore,git://github.com/MailCore/MailCore.git,24,346,61,0,1,50,181,833,221,67,Objective-C,2014
bedtools,git://github.com/arq5x/bedtools.git,28,921,45,0,22,61,273,130,82,22,C++,2016
django-fluent-contents,git://github.com/django-fluent/django-fluent-contents.git,16,884,45,0,40,22,414,133,35,9,Python,2019
ofxFenster,git://github.com/underdoeg/ofxFenster.git,17,194,20,1,1,29,243,80,29,15,C++,2016
liquibase-hibernate,git://github.com/liquibase/liquibase-hibernate.git,28,250,88,18,18,75,441,167,118,31,Java,2019
powerlaw,git://github.com/jeffalstott/powerlaw.git,15,422,39,0,0,21,357,293,89,32,Jupyter Notebook,2018
