Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
metriks,git://github.com/eric/metriks.git,14,189,11,0,29,5,273,483,50,12,Ruby,2017
jade-browser,git://github.com/storify/jade-browser.git,11,58,8,0,1,4,124,86,28,19,JavaScript,2014
node-ftp,git://github.com/mscdex/node-ftp.git,13,186,93,0,27,108,238,914,201,38,JavaScript,2015
documentation,git://github.com/citation-style-language/documentation.git,9,561,21,0,0,22,190,13,14,5,Python,2014
mikidown,git://github.com/ShadowKyogre/mikidown.git,9,399,51,0,22,15,231,104,24,7,Python,2016
3bmd,git://github.com/3b/3bmd.git,9,80,9,0,0,13,341,48,10,9,Common Lisp,2017
pure-python-otr,git://github.com/python-otr/pure-python-otr.git,9,161,38,0,8,13,334,151,22,24,Python,2018
sshfs,git://github.com/osxfuse/sshfs.git,12,269,25,1,4,24,285,727,82,39,C,2017
neoclipse,git://github.com/neo4j-contrib/neoclipse.git,13,384,16,0,0,55,186,204,143,51,Java,2014
sly,git://github.com/darsain/sly.git,8,322,186,0,22,63,181,2890,523,160,JavaScript,2015
cmb_field_map,git://github.com/mustardBees/cmb_field_map.git,8,59,31,14,14,20,343,110,49,15,PHP,2018
HunchWorks,git://github.com/global-pulse/HunchWorks.git,12,831,63,0,0,31,47,38,9,9,Python,2012
advene,git://github.com/oaubert/advene.git,10,8132,39,0,10,9,459,18,7,5,Python,2019
scrumbugz,git://github.com/mozilla/scrumbugz.git,12,393,37,0,0,50,151,34,22,12,Python,2015
LinksPlatform,git://github.com/Konard/LinksPlatform.git,9,1261,83,7,7,258,409,26,4,16,C#,2019
cuppa,git://github.com/ja11sop/cuppa.git,9,629,28,0,0,12,437,22,8,8,Python,2019
vlc-qt,git://github.com/vlc-qt/vlc-qt.git,9,498,144,16,16,75,323,473,226,69,C++,2017
typhoon,git://github.com/culanth/typhoon.git,12,1695,325,0,36,14,454,2,0,2,JavaScript,2019
imgmin,git://github.com/rflynn/imgmin.git,12,302,24,1,1,26,289,561,31,31,C,2016
sae-python-dev-guide,git://github.com/sinacloud/sae-python-dev-guide.git,9,306,108,0,0,19,213,473,360,65,Python,2015
pism,git://github.com/pism/pism.git,21,7730,375,2,36,44,424,44,16,28,C++,2019
fff,git://github.com/meekrosoft/fff.git,15,214,33,1,1,19,470,301,70,34,C++,2019
Orebfuscator,git://github.com/lishid/Orebfuscator.git,16,236,145,28,28,47,377,83,84,19,Java,2018
bean,git://github.com/fat/bean.git,27,342,54,0,12,25,220,1380,124,43,JavaScript,2015
