Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
Pure64,git://github.com/ReturnInfinity/Pure64.git,8,542,23,3,5,14,392,418,73,50,C,2018
llgo,git://github.com/go-llvm/llgo.git,14,1001,65,1,1,22,165,1012,84,63,Go,2015
phenotypes2genotypes,git://github.com/KonradZych/phenotypes2genotypes.git,9,1081,39,0,21,13,362,4,5,2,R,2018
stanford-core-nlp,git://github.com/louismullie/stanford-core-nlp.git,10,199,23,0,0,15,263,418,68,34,Ruby,2017
Most-Pixels-Ever-Processing,git://github.com/shiffman/Most-Pixels-Ever-Processing.git,12,342,35,4,4,23,285,270,70,47,Java,2016
trickytripper,git://github.com/koelleChristian/trickytripper.git,8,293,18,2,2,16,412,40,12,10,Java,2019
minimongo,git://github.com/slacy/minimongo.git,10,152,13,0,0,13,248,313,50,16,Python,2015
alogger,git://github.com/siberian-fast-food/alogger.git,9,315,17,0,15,19,172,49,16,5,Erlang,2014
Tax-Meta-Class,git://github.com/bainternet/Tax-Meta-Class.git,9,95,96,0,0,18,204,402,115,43,PHP,2015
smoke.js,git://github.com/hxgf/smoke.js.git,9,56,24,0,0,14,364,938,112,27,JavaScript,2018
contao-changelanguage,git://github.com/terminal42/contao-changelanguage.git,11,366,133,17,35,8,411,32,26,14,PHP,2019
jenkins-php-api,git://github.com/jenkins-khan/jenkins-php-api.git,12,84,7,0,1,10,289,97,89,13,PHP,2017
Ninject.Extensions.Factory,git://github.com/ninject/Ninject.Extensions.Factory.git,8,96,20,3,12,17,333,38,33,13,C#,2018
nexmo-java,git://github.com/Nexmo/nexmo-java.git,13,314,96,28,28,12,411,63,65,31,Java,2019
Gyazz,git://github.com/masui/Gyazz.git,8,436,53,0,0,33,185,48,12,6,JavaScript,2014
SCION,git://github.com/jbeard4/SCION.git,8,1099,295,7,31,42,368,138,27,18,JavaScript,2018
gioco,git://github.com/joaomdmoura/gioco.git,11,221,44,0,0,16,226,306,42,20,Ruby,2016
pms,git://github.com/ambientsound/pms.git,11,941,42,0,1,34,426,136,21,9,Go,2019
jaws,git://github.com/jaws-project/jaws.git,11,10721,155,0,0,23,422,32,15,20,PHP,2019
advene,git://github.com/oaubert/advene.git,10,8132,39,0,10,9,459,18,7,5,Python,2019
FMBbCodeBundle,git://github.com/helios-ag/FMBbCodeBundle.git,21,275,49,8,11,12,227,55,34,9,PHP,2016
jade-mode,git://github.com/brianc/jade-mode.git,22,122,18,0,1,13,283,160,43,5,Emacs Lisp,2016
svtplay-dl,git://github.com/spaam/svtplay-dl.git,23,2196,744,0,74,232,459,451,81,40,Python,2019
spree_address_book,git://github.com/spree-contrib/spree_address_book.git,24,212,36,0,0,11,457,94,230,14,Ruby,2019
BSKeyboardControls,git://github.com/simonbs/BSKeyboardControls.git,22,79,21,0,5,13,234,540,116,27,Objective-C,2016
selenium-plugin,git://github.com/jenkinsci/selenium-plugin.git,29,419,62,0,23,22,470,109,103,144,Java,2019
burp,git://github.com/grke/burp.git,29,2782,590,38,126,67,455,350,73,42,C,2019
Ushahidi_Android,git://github.com/pdestefanis/Ushahidi_Android.git,20,583,43,0,18,22,24,6,3,5,Java,2012
Orebfuscator,git://github.com/lishid/Orebfuscator.git,16,236,145,28,28,47,377,83,84,19,Java,2018
