Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
notp,git://github.com/guyht/notp.git,14,67,10,1,3,11,209,541,60,17,JavaScript,2015
VisualEvent,git://github.com/DataTables/VisualEvent.git,9,68,25,0,0,23,259,901,142,56,JavaScript,2016
PrettyCSS,git://github.com/fidian/PrettyCSS.git,11,628,21,0,19,24,411,35,12,3,JavaScript,2019
Centurion,git://github.com/centurion-project/Centurion.git,14,416,24,0,3,31,82,202,61,25,PHP,2012
oscar,git://github.com/oscar-stack/oscar.git,12,268,26,3,29,20,408,90,39,10,Ruby,2019
ceylon-runtime,git://github.com/ceylon/ceylon-runtime.git,13,490,62,0,11,15,255,24,7,14,Java,2016
perfwatcher,git://github.com/perfwatcher/perfwatcher.git,8,411,38,0,10,11,191,38,9,8,PHP,2015
growl-for-linux,git://github.com/mattn/growl-for-linux.git,13,441,33,1,19,17,288,213,23,19,C,2016
Multiple-Dates-Picker-for-jQuery-UI,git://github.com/dubrox/Multiple-Dates-Picker-for-jQuery-UI.git,8,46,88,0,4,134,321,248,137,24,HTML,2017
nexmo-java,git://github.com/Nexmo/nexmo-java.git,13,314,96,28,28,12,411,63,65,31,Java,2019
jade-browser,git://github.com/storify/jade-browser.git,11,58,8,0,1,4,124,86,28,19,JavaScript,2014
traceroute,git://github.com/amatsuda/traceroute.git,10,153,12,0,14,8,390,735,29,15,Ruby,2018
HunchWorks,git://github.com/global-pulse/HunchWorks.git,12,831,63,0,0,31,47,38,9,9,Python,2012
Pyrseas,git://github.com/perseas/Pyrseas.git,14,706,147,0,18,25,453,254,46,17,Python,2019
morpheus,git://github.com/ded/morpheus.git,14,122,22,0,2,12,167,504,59,17,JavaScript,2014
Laker-Compendium,git://github.com/ffranke/Laker-Compendium.git,11,214,31,0,0,96,172,317,39,25,CSS,2014
Ninject.Extensions.Factory,git://github.com/ninject/Ninject.Extensions.Factory.git,8,96,20,3,12,17,333,38,33,13,C#,2018
hackful,git://github.com/8bitpal/hackful.git,10,155,16,0,0,30,54,70,18,3,Ruby,2013
tinyows,git://github.com/mapserver/tinyows.git,13,740,23,1,7,44,206,37,23,26,C,2016
EasySOA,git://github.com/easysoa/EasySOA.git,13,2171,58,0,4,80,129,30,10,12,Java,2013
syncCto,git://github.com/menatwork/syncCto.git,15,859,201,2,75,69,433,24,14,20,PHP,2019
