Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
zip.js,git://github.com/gildas-lormeau/zip.js.git,12,275,68,0,0,89,318,2045,377,82,JavaScript,2017
continuous-enterprise-development,git://github.com/arquillian/continuous-enterprise-development.git,12,783,81,0,5,31,104,119,161,35,Java,2014
django-boundaryservice,git://github.com/newsapps/django-boundaryservice.git,11,103,6,0,3,24,154,82,40,10,Python,2014
CV,git://github.com/aleator/CV.git,13,430,27,0,4,14,283,48,15,6,Haskell,2016
kindlefodder,git://github.com/danchoi/kindlefodder.git,11,226,3,1,1,16,305,361,43,17,Ruby,2017
AtlasOS,git://github.com/0x10cAtlas/AtlasOS.git,10,164,34,0,0,12,11,86,12,4,DCPU-16 ASM,2012
cmb_field_map,git://github.com/mustardBees/cmb_field_map.git,8,59,31,14,14,20,343,110,49,15,PHP,2018
mongoose-auth,git://github.com/bnoguchi/mongoose-auth.git,10,105,51,0,10,45,50,759,125,23,JavaScript,2012
scrumbugz,git://github.com/mozilla/scrumbugz.git,12,393,37,0,0,50,151,34,22,12,Python,2015
FacebookIrcGateway,git://github.com/shunirr/FacebookIrcGateway.git,9,306,52,0,1,30,287,60,6,18,Ruby,2016
Multiverse-SignPortals,git://github.com/Multiverse/Multiverse-SignPortals.git,8,109,41,0,3,12,455,16,12,4,Java,2019
fish,git://github.com/jorgearanda/fish.git,8,433,160,0,1,22,433,3,5,3,JavaScript,2019
SQLBuilder,git://github.com/c9s/SQLBuilder.git,9,1030,48,2,54,26,411,119,17,9,PHP,2019
split2flac,git://github.com/ftrvxmtrx/split2flac.git,8,140,13,0,5,10,413,236,27,20,Shell,2019
python-clouddns,git://github.com/rackerlabs/python-clouddns.git,9,56,2,0,0,6,80,59,27,197,Python,2013
ruby-oci8,git://github.com/kubo/ruby-oci8.git,13,673,171,1,45,16,435,141,71,18,Ruby,2019
TICoreDataSync,git://github.com/nothirst/TICoreDataSync.git,8,692,60,0,5,25,117,829,64,57,Objective-C,2013
minimongo,git://github.com/slacy/minimongo.git,10,152,13,0,0,13,248,313,50,16,Python,2015
post-thumbnail-editor,git://github.com/sewpafly/post-thumbnail-editor.git,14,219,94,0,24,24,318,32,21,2,JavaScript,2017
KKPasscodeLock,git://github.com/aporat/KKPasscodeLock.git,10,80,6,0,4,13,84,306,84,17,Objective-C,2013
svtplay-dl,git://github.com/spaam/svtplay-dl.git,23,2196,744,0,74,232,459,451,81,40,Python,2019
tiled,git://github.com/HaxePunk/tiled.git,18,83,9,0,1,11,364,51,22,10,Haxe,2018
SiriProxy,git://github.com/plamoni/SiriProxy.git,26,196,493,0,5,20,96,2153,376,142,Ruby,2013
podio-py,git://github.com/podio/podio-py.git,28,106,10,0,0,11,360,45,66,50,Python,2018
kobuki,git://github.com/yujinrobot/kobuki.git,22,1366,312,0,50,30,411,119,121,30,C++,2019
PowerArgs,git://github.com/adamabdelhamed/PowerArgs.git,15,609,95,0,0,13,402,404,52,31,C#,2019
SmokePing,git://github.com/oetiker/SmokePing.git,27,1261,71,3,31,59,428,518,121,46,Perl,2019
luerl,git://github.com/rvirding/luerl.git,19,339,51,0,4,19,409,717,110,68,Erlang,2019
moodle-format_grid,git://github.com/gjb2048/moodle-format_grid.git,20,477,66,78,129,14,409,18,36,7,PHP,2019
redaxo4,git://github.com/redaxo/redaxo4.git,27,2813,273,5,29,37,443,45,29,15,PHP,2019
Jamstash,git://github.com/tsquillario/Jamstash.git,20,456,171,0,1,31,435,233,76,29,JavaScript,2019
pragyan,git://github.com/delta/pragyan.git,16,266,140,0,0,51,455,62,56,14,PHP,2019
twgit,git://github.com/Twenga/twgit.git,20,791,101,0,33,47,314,108,36,13,PHP,2018
PVS,git://github.com/SRI-CSL/PVS.git,29,7195,31,0,14,21,446,62,19,18,Common Lisp,2019
jquery.kinetic,git://github.com/davetayls/jquery.kinetic.git,17,202,70,0,18,13,374,426,94,16,JavaScript,2018
spree_multi_lingual,git://github.com/jipiboily/spree_multi_lingual.git,17,172,26,0,0,11,113,49,56,7,Ruby,2014
exitwp,git://github.com/thomasf/exitwp.git,26,111,18,0,0,22,455,662,126,17,Python,2019
