Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
poly,git://github.com/cujojs/poly.git,11,196,12,2,14,9,208,143,17,7,JavaScript,2015
prestapyt,git://github.com/prestapyt/prestapyt.git,9,93,13,1,12,21,411,51,73,15,Python,2019
pyxmpp2,git://github.com/Jajcus/pyxmpp2.git,8,1176,55,1,15,29,341,176,44,17,Python,2017
flexnav,git://github.com/mrjasonweaver/flexnav.git,10,196,115,12,13,74,152,1219,430,106,CSS,2014
emacs-edbi,git://github.com/kiwanami/emacs-edbi.git,9,73,21,0,3,15,210,259,28,14,Emacs Lisp,2016
pure-python-otr,git://github.com/python-otr/pure-python-otr.git,9,161,38,0,8,13,334,151,22,24,Python,2018
SQLBuilder,git://github.com/c9s/SQLBuilder.git,9,1030,48,2,54,26,411,119,17,9,PHP,2019
mirah-parser,git://github.com/mirah/mirah-parser.git,9,143,10,0,0,10,290,6,8,10,Ruby,2016
hamlbars,git://github.com/jamesotron/hamlbars.git,12,118,33,0,6,10,143,182,42,8,Ruby,2014
Sequence,git://github.com/IanLunn/Sequence.git,12,286,227,10,11,35,188,3377,513,157,JavaScript,2015
continuous-enterprise-development,git://github.com/arquillian/continuous-enterprise-development.git,12,783,81,0,5,31,104,119,161,35,Java,2014
tmux-MacOSX-pasteboard,git://github.com/ChrisJohnsen/tmux-MacOSX-pasteboard.git,10,107,41,0,13,12,456,2116,74,42,C,2019
Transliteration,git://github.com/libindic/Transliteration.git,9,52,2,0,1,10,378,46,21,7,Python,2018
node-tick,git://github.com/sidorares/node-tick.git,11,52,9,0,4,11,218,321,24,13,JavaScript,2016
shelby_gt,git://github.com/ShelbyTV/shelby_gt.git,13,3507,170,0,1,23,115,2,0,2,Ruby,2014
simperium-android,git://github.com/Simperium/simperium-android.git,12,784,95,1,60,38,449,58,14,9,Java,2019
rtc,git://github.com/plum-umd/rtc.git,9,408,42,0,0,14,231,82,4,10,Ruby,2016
gorm-tools,git://github.com/yakworks/gorm-tools.git,12,608,77,20,25,16,446,20,11,9,Groovy,2019
pavo,git://github.com/rmaia/pavo.git,9,2494,67,12,19,20,411,16,7,7,R,2019
unstdlib.py,git://github.com/shazow/unstdlib.py.git,8,211,5,0,12,8,450,127,17,12,Python,2019
grails-routing,git://github.com/padcom/grails-routing.git,16,119,21,11,20,12,240,32,31,6,Groovy,2016
Daemon-Control,git://github.com/symkat/Daemon-Control.git,21,159,30,0,2,15,408,44,29,5,Perl,2019
monkey,git://github.com/monkey/monkey.git,23,3506,164,1,54,52,421,481,139,38,C,2019
CElegansNeuroML,git://github.com/openworm/CElegansNeuroML.git,15,726,22,1,3,35,402,114,48,60,Jupyter Notebook,2019
podio-py,git://github.com/podio/podio-py.git,28,106,10,0,0,11,360,45,66,50,Python,2018
td,git://github.com/treasure-data/td.git,29,1434,37,0,163,13,447,40,16,76,Ruby,2019
Awful.app,git://github.com/Awful/Awful.app.git,24,5188,292,61,595,553,445,123,49,22,Swift,2019
gradle-js-plugin,git://github.com/eriwen/gradle-js-plugin.git,26,268,71,0,19,61,426,375,106,28,JavaScript,2019
bedtools,git://github.com/arq5x/bedtools.git,28,921,45,0,22,61,273,130,82,22,C++,2016
zookeeper,git://github.com/zk-ruby/zookeeper.git,26,736,30,0,83,16,469,144,67,8,Ruby,2019
saucerest-java,git://github.com/saucelabs/saucerest-java.git,23,270,15,0,45,14,450,36,59,41,Java,2019
geoserver-manager,git://github.com/geosolutions-it/geoserver-manager.git,29,293,77,0,17,45,448,132,139,44,Java,2019
testlink-java-api,git://github.com/kinow/testlink-java-api.git,19,296,0,0,22,0,429,60,87,22,Java,2019
LateralGM,git://github.com/IsmAvatar/LateralGM.git,18,1622,205,67,67,58,412,58,21,12,Java,2019
normalize.css,git://github.com/necolas/normalize.css.git,16,360,431,0,27,18,391,37083,7733,1569,CSS,2018
JSONassert,git://github.com/skyscreamer/JSONassert.git,20,207,30,6,11,37,267,678,142,49,Java,2017
spree_multi_lingual,git://github.com/jipiboily/spree_multi_lingual.git,17,172,26,0,0,11,113,49,56,7,Ruby,2014
json-parser,git://github.com/udp/json-parser.git,21,137,33,0,2,11,409,957,249,65,C,2019
CoRD,git://github.com/dorianj/CoRD.git,23,649,27,2,2,37,221,330,101,36,Objective-C,2016
Jed,git://github.com/messageformat/Jed.git,17,82,19,0,11,12,265,862,71,28,JavaScript,2017
zookeepr,git://github.com/zookeepr/zookeepr.git,48,6482,81,0,0,107,306,71,94,10,XSLT,2017
libqb,git://github.com/ClusterLabs/libqb.git,35,1363,100,13,42,36,454,114,66,32,C,2019
httpbin,git://github.com/requests/httpbin.git,95,841,235,4,30,70,389,8323,1243,223,Python,2018
WordPress-Coding-Standards,git://github.com/WordPress-Coding-Standards/WordPress-Coding-Standards.git,54,2567,661,23,26,194,448,1747,297,82,PHP,2019
reel,git://github.com/celluloid/reel.git,39,603,71,3,25,37,340,615,86,28,Ruby,2018
ActionBarSherlock,git://github.com/JakeWharton/ActionBarSherlock.git,65,1480,797,32,32,84,197,7238,3782,783,Java,2014
fulcrum,git://github.com/fulcrum-agile/fulcrum.git,50,697,56,0,0,40,262,1517,376,77,JavaScript,2016
gon,git://github.com/gazay/gon.git,64,449,122,0,53,36,449,2830,171,56,Ruby,2019
alex,git://github.com/simonmar/alex.git,51,437,41,0,23,28,440,176,61,8,Haskell,2019
Starling-Framework,git://github.com/Gamua/Starling-Framework.git,44,2162,763,9,22,62,438,2247,863,313,ActionScript,2019
Hotot,git://github.com/lyricat/Hotot.git,89,2241,261,0,7,152,202,504,144,37,JavaScript,2015
wsc,git://github.com/forcedotcom/wsc.git,65,549,71,2,57,49,467,205,197,101,Java,2019
iTerm2-Color-Schemes,git://github.com/mbadolato/iTerm2-Color-Schemes.git,90,533,47,0,0,10,455,14275,4140,314,Shell,2019
EvaP,git://github.com/fsr-itse/EvaP.git,56,3232,671,0,0,62,413,53,93,15,Python,2019
pkg,git://github.com/freebsd/pkg.git,99,7953,972,5,148,286,455,559,188,66,C,2019
boomerang,git://github.com/akamai/boomerang.git,31,2226,199,3,3,21,411,1362,246,94,JavaScript,2019
catkin,git://github.com/ros/catkin.git,58,2272,570,0,182,4,423,192,199,38,Python,2019
jQuery-Tagit,git://github.com/hailwood/jQuery-Tagit.git,34,164,31,0,0,27,278,269,112,18,CSS,2016
phpmyadmin,git://github.com/phpmyadmin/phpmyadmin.git,308,117054,11799,289,455,467,413,4625,2544,292,PHP,2019
