Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
awesim,git://github.com/saroele/awesim.git,10,238,7,0,0,12,174,39,11,16,Python,2014
viewshare,git://github.com/LibraryOfCongress/viewshare.git,10,1148,44,5,33,18,185,36,13,11,JavaScript,2014
spring-android,git://github.com/spring-projects/spring-android.git,8,507,17,0,11,12,447,704,276,92,Java,2019
portico,git://github.com/openlvc/portico.git,8,561,99,2,5,111,438,84,53,39,Java,2019
starrs,git://github.com/cohoe/starrs.git,10,1618,236,0,0,23,386,14,6,7,PLpgSQL,2018
forgetIT,git://github.com/dhbw-horb/forgetIT.git,10,73,20,0,0,12,7,8,4,7,Java,2011
Adauth,git://github.com/Arcath/Adauth.git,12,175,35,4,17,16,225,183,29,11,Ruby,2015
paperclip_database,git://github.com/softace/paperclip_database.git,8,136,8,0,20,7,409,22,39,5,Ruby,2019
documentation,git://github.com/citation-style-language/documentation.git,9,561,21,0,0,22,190,13,14,5,Python,2014
minicart,git://github.com/jeffharrell/minicart.git,10,354,233,0,18,64,290,494,209,49,JavaScript,2016
flexnav,git://github.com/mrjasonweaver/flexnav.git,10,196,115,12,13,74,152,1219,430,106,CSS,2014
linum-relative,git://github.com/coldnew/linum-relative.git,10,72,23,2,3,11,312,145,20,9,Emacs Lisp,2018
redaxo_ycom,git://github.com/yakamara/redaxo_ycom.git,14,416,185,0,7,16,422,47,30,11,PHP,2019
mosaic,git://github.com/ProjectMOSAIC/mosaic.git,13,2854,647,10,39,79,414,77,25,9,HTML,2019
mikidown,git://github.com/ShadowKyogre/mikidown.git,9,399,51,0,22,15,231,104,24,7,Python,2016
QuantitativeReporting,git://github.com/QIICR/QuantitativeReporting.git,10,841,132,1,1,18,414,10,16,12,Python,2019
Dime,git://github.com/phpugl/Dime.git,14,368,63,0,13,17,244,33,17,4,PHP,2016
perfwatcher,git://github.com/perfwatcher/perfwatcher.git,8,411,38,0,10,11,191,38,9,8,PHP,2015
JMeter-Rabbit-AMQP,git://github.com/jlavallee/JMeter-Rabbit-AMQP.git,9,74,8,0,0,22,272,107,116,17,Java,2017
Arelle,git://github.com/Arelle/Arelle.git,12,2496,0,0,10,0,443,227,151,62,Python,2019
api-checker,git://github.com/rackerlabs/api-checker.git,24,1298,65,0,55,33,413,9,17,21,Scala,2019
role-strategy-plugin,git://github.com/jenkinsci/role-strategy-plugin.git,21,384,0,6,26,0,468,60,102,133,Java,2019
supply_drop,git://github.com/pitluga/supply_drop.git,24,169,27,0,23,7,225,244,34,14,Ruby,2015
ijson,git://github.com/isagalaev/ijson.git,15,174,48,0,14,9,279,591,72,16,Python,2016
LateralGM,git://github.com/IsmAvatar/LateralGM.git,18,1622,205,67,67,58,412,58,21,12,Java,2019
PowerArgs,git://github.com/adamabdelhamed/PowerArgs.git,15,609,95,0,0,13,402,404,52,31,C#,2019
libtorrent,git://github.com/rakshasa/libtorrent.git,24,1486,97,0,7,29,426,752,182,65,C++,2019
FreeStreamer,git://github.com/muhku/FreeStreamer.git,19,999,249,0,215,152,428,1912,412,95,Objective-C,2019
grails-audit-logging-plugin,git://github.com/robertoschwald/grails-audit-logging-plugin.git,22,590,136,20,30,18,411,44,52,11,Groovy,2019
nitrogen,git://github.com/l3ib/nitrogen.git,20,339,68,2,3,36,469,154,20,9,C++,2019
tldextract,git://github.com/john-kurkowski/tldextract.git,27,327,95,0,35,15,458,1111,153,51,Python,2019
deck.js,git://github.com/imakewebthings/deck.js.git,16,259,120,0,3,27,258,5392,656,137,JavaScript,2016
mate-terminal,git://github.com/mate-desktop/mate-terminal.git,28,442,112,2,50,56,423,69,51,21,C,2019
kobuki,git://github.com/yujinrobot/kobuki.git,22,1366,312,0,50,30,411,119,121,30,C++,2019
SiriProxy,git://github.com/plamoni/SiriProxy.git,26,196,493,0,5,20,96,2153,376,142,Ruby,2013
spree_address_book,git://github.com/spree-contrib/spree_address_book.git,24,212,36,0,0,11,457,94,230,14,Ruby,2019
lldpd,git://github.com/vincentbernat/lldpd.git,24,1902,239,2,54,27,458,360,111,55,C,2019
q,git://github.com/harelba/q.git,19,317,85,6,30,63,409,7231,324,175,Python,2019
follow,git://github.com/iriscouch/follow.git,25,308,23,0,24,37,327,381,80,17,JavaScript,2017
playthecall-2013,git://github.com/playthecall/playthecall-2013.git,17,639,89,0,0,42,83,13,6,8,JavaScript,2013
SonataBlockBundle,git://github.com/sonata-project/SonataBlockBundle.git,66,1008,118,32,63,3,410,321,133,32,PHP,2019
SublimeGDB,git://github.com/quarnster/SublimeGDB.git,34,200,61,0,0,14,413,332,93,27,Python,2019
mongoid-history,git://github.com/mongoid/mongoid-history.git,44,402,79,2,43,30,457,366,124,17,Ruby,2019
puppet-puppet,git://github.com/theforeman/puppet-puppet.git,45,689,106,0,47,8,407,79,200,15,Puppet,2019
crayon-syntax-highlighter,git://github.com/aramk/crayon-syntax-highlighter.git,57,860,172,0,39,186,311,1034,230,54,PHP,2018
frappe,git://github.com/frappe/frappe.git,199,22859,1385,832,840,437,445,1402,1065,163,Python,2019
rails-style-guide,git://github.com/rubocop-hq/rails-style-guide.git,89,379,33,0,0,23,428,5872,1051,263,,2019
axlsx,git://github.com/randym/axlsx.git,84,1301,264,0,18,182,421,2497,698,68,Ruby,2019
gae-boilerplate,git://github.com/coto/gae-boilerplate.git,54,935,115,2,7,43,408,697,206,93,Python,2019
onebusaway-application-modules,git://github.com/OneBusAway/onebusaway-application-modules.git,47,3239,58,0,48,69,408,163,109,31,Java,2019
framework,git://github.com/goaop/framework.git,36,3881,274,20,32,8,459,1342,126,88,PHP,2019
Hotot,git://github.com/lyricat/Hotot.git,89,2241,261,0,7,152,202,504,144,37,JavaScript,2015
beautiful-docs,git://github.com/PharkMillups/beautiful-docs.git,68,227,25,0,0,5,257,4664,321,202,,2016
termbox-go,git://github.com/nsf/termbox-go.git,53,218,62,0,0,46,414,3616,298,101,Go,2019
bootstrap_form,git://github.com/bootstrap-ruby/bootstrap_form.git,62,723,243,14,21,44,415,1429,326,51,Ruby,2019
powder,git://github.com/powder-rb/powder.git,56,233,41,0,22,12,349,1305,75,19,Ruby,2017
mozillians,git://github.com/mozilla/mozillians.git,105,5773,65,73,186,25,447,274,362,48,Python,2019
zpanelx,git://github.com/zpanel/zpanelx.git,49,1742,55,3,15,49,175,363,283,68,PHP,2014
sandbox,git://github.com/sonata-project/sandbox.git,43,1170,219,0,0,15,239,254,216,53,PHP,2016
