Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
fuse-jna,git://github.com/EtiennePerot/fuse-jna.git,14,130,29,0,0,11,250,130,46,21,Java,2016
mwf,git://github.com/ucla/mwf.git,10,1063,143,0,27,16,77,86,28,14,JavaScript,2012
Dime,git://github.com/phpugl/Dime.git,14,368,63,0,13,17,244,33,17,4,PHP,2016
PrettyCSS,git://github.com/fidian/PrettyCSS.git,11,628,21,0,19,24,411,35,12,3,JavaScript,2019
RHadoop,git://github.com/RevolutionAnalytics/RHadoop.git,10,1101,176,0,16,60,228,762,290,161,,2015
mongoose-auth,git://github.com/bnoguchi/mongoose-auth.git,10,105,51,0,10,45,50,759,125,23,JavaScript,2012
horton,git://github.com/theochem/horton.git,13,2097,104,8,13,28,437,53,36,17,Python,2019
Adauth,git://github.com/Arcath/Adauth.git,12,175,35,4,17,16,225,183,29,11,Ruby,2015
archi,git://github.com/archimatetool/archi.git,10,1951,317,0,51,178,455,337,142,63,Java,2019
api,git://github.com/nodejs-es/api.git,10,192,4,0,1,33,59,27,7,2,JavaScript,2012
sage-patchbot,git://github.com/sagemath/sage-patchbot.git,13,773,55,6,59,33,409,7,12,6,Python,2019
query,git://github.com/ctpconsulting/query.git,14,199,34,0,5,13,115,33,16,9,Java,2013
spymemcached,git://github.com/couchbase/spymemcached.git,9,979,0,0,100,0,324,162,98,27,Java,2018
amigaos-cross-toolchain,git://github.com/cahirwpz/amigaos-cross-toolchain.git,8,339,44,2,2,14,355,149,42,23,Python,2018
Moodle-block_progress,git://github.com/deraadt/Moodle-block_progress.git,8,158,13,0,43,1,237,26,50,9,PHP,2016
node-ftp,git://github.com/mscdex/node-ftp.git,13,186,93,0,27,108,238,914,201,38,JavaScript,2015
tmux-MacOSX-pasteboard,git://github.com/ChrisJohnsen/tmux-MacOSX-pasteboard.git,10,107,41,0,13,12,456,2116,74,42,C,2019
ClipIt,git://github.com/CristianHenzel/ClipIt.git,13,213,32,2,2,47,433,274,69,12,C,2019
phreeze,git://github.com/jasonhinkle/phreeze.git,13,480,97,1,1,169,205,378,179,52,PHP,2016
bbqsql,git://github.com/Neohapsis/bbqsql.git,9,261,40,0,2,11,412,435,146,64,Python,2019
jabberd2,git://github.com/jabberd2/jabberd2.git,21,1175,76,21,61,52,350,411,182,77,C,2018
jmeter-ec2,git://github.com/oliverlloyd/jmeter-ec2.git,17,319,57,5,6,15,264,427,184,45,Shell,2017
aws-toolkit-eclipse,git://github.com/aws/aws-toolkit-eclipse.git,25,92,92,20,25,54,468,225,145,71,Java,2019
ValyriaTear,git://github.com/ValyriaTear/ValyriaTear.git,29,3464,382,2,11,33,409,160,59,29,Lua,2019
lldpd,git://github.com/vincentbernat/lldpd.git,24,1902,239,2,54,27,458,360,111,55,C,2019
Bifrost,git://github.com/dolittle/Bifrost.git,21,3155,424,0,37,350,413,108,35,21,C#,2019
auto-pairs,git://github.com/jiangmiao/auto-pairs.git,20,177,119,0,25,98,447,2393,266,42,Vim script,2019
storm-cassandra,git://github.com/hmsonline/storm-cassandra.git,23,256,14,0,10,15,124,183,91,31,Java,2014
Multicorn,git://github.com/Kozea/Multicorn.git,29,2295,104,3,19,65,445,523,118,59,Python,2019
webapp-runner,git://github.com/jsimone/webapp-runner.git,25,483,52,0,106,15,414,297,97,63,Java,2019
MailCore,git://github.com/MailCore/MailCore.git,24,346,61,0,1,50,181,833,221,67,Objective-C,2014
pnmixer,git://github.com/nicklan/pnmixer.git,16,614,101,7,16,18,370,125,31,10,C,2018
umurmur,git://github.com/umurmur/umurmur.git,19,464,48,0,24,30,335,173,41,27,C,2017
fb-contrib,git://github.com/mebigfatguy/fb-contrib.git,23,3594,219,0,45,35,438,106,34,18,Java,2019
openlierox,git://github.com/albertz/openlierox.git,27,8496,598,2,33,206,447,157,43,15,C++,2019
HaTeX,git://github.com/Daniel-Diaz/HaTeX.git,26,596,55,0,18,14,411,140,44,9,Haskell,2019
Coherence,git://github.com/coherence-project/Coherence.git,18,1651,10,0,16,11,334,155,49,28,Python,2018
less-rails,git://github.com/metaskills/less-rails.git,22,184,78,0,33,30,370,344,123,15,Ruby,2018
node-spdy,git://github.com/spdy-http2/node-spdy.git,24,825,221,0,211,44,454,2604,200,84,JavaScript,2019
redaxo4,git://github.com/redaxo/redaxo4.git,27,2813,273,5,29,37,443,45,29,15,PHP,2019
source-map,git://github.com/mozilla/source-map.git,68,673,125,0,48,53,441,2042,277,61,JavaScript,2019
potlatch2,git://github.com/systemed/potlatch2.git,40,2095,2,1,7,4,453,30,23,6,ActionScript,2019
pydub,git://github.com/jiaaro/pydub.git,63,664,203,27,32,105,448,3974,553,123,Python,2019
django-cumulus,git://github.com/django-cumulus/django-cumulus.git,39,449,62,0,34,19,467,134,95,7,Python,2019
travis-cookbooks,git://github.com/travis-ci/travis-cookbooks.git,131,4324,174,0,76,15,445,652,264,58,Ruby,2019
express-validator,git://github.com/express-validator/express-validator.git,71,814,521,92,92,62,426,4088,442,61,TypeScript,2019
overcommit,git://github.com/brigade/overcommit.git,38,1571,328,36,83,40,456,3142,238,94,Ruby,2019
Propel2,git://github.com/propelorm/Propel2.git,173,4257,541,7,8,265,426,1100,314,78,PHP,2019
MultiColumnWizard,git://github.com/menatwork/MultiColumnWizard.git,36,330,144,12,35,15,435,29,32,12,PHP,2019
cookbook,git://github.com/logstash/cookbook.git,46,236,10,0,0,10,102,120,108,23,CSS,2014
podio-php,git://github.com/podio/podio-php.git,41,716,69,8,9,31,469,137,115,63,PHP,2019
springlobby,git://github.com/springlobby/springlobby.git,60,11473,737,0,436,104,445,57,40,13,C++,2019
ios-sim,git://github.com/ios-control/ios-sim.git,40,309,153,31,48,36,470,1362,239,88,JavaScript,2019
node-bunyan,git://github.com/trentm/node-bunyan.git,33,689,246,0,108,193,287,6062,490,121,JavaScript,2017
django-dynamic-fixture,git://github.com/paulocheque/django-dynamic-fixture.git,30,228,32,0,19,17,400,290,44,14,Python,2019
Kundera,git://github.com/Impetus/Kundera.git,62,3929,796,1,46,169,374,879,244,126,Java,2018
essential-js-design-patterns,git://github.com/addyosmani/essential-js-design-patterns.git,68,537,69,3,6,24,372,3860,675,172,HTML,2018
node-soap,git://github.com/vpulim/node-soap.git,153,909,0,47,52,0,454,2438,1262,110,JavaScript,2019
ensime-sublime,git://github.com/ensime/ensime-sublime.git,31,409,62,13,14,21,316,170,69,18,Python,2017
