Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
Movuca,git://github.com/rochacbruno/Movuca.git,14,580,11,0,0,16,97,110,33,9,CSS,2013
fabulaws,git://github.com/caktus/fabulaws.git,11,388,5,0,7,12,445,42,4,20,Python,2019
poly,git://github.com/cujojs/poly.git,11,196,12,2,14,9,208,143,17,7,JavaScript,2015
smoke.js,git://github.com/hxgf/smoke.js.git,9,56,24,0,0,14,364,938,112,27,JavaScript,2018
jaws,git://github.com/jaws-project/jaws.git,11,10721,155,0,0,23,422,32,15,20,PHP,2019
MCTowns,git://github.com/jmhertlein/MCTowns.git,8,548,73,0,12,14,275,8,2,3,Java,2017
khan-mobile,git://github.com/Khan/khan-mobile.git,9,240,105,0,0,23,147,246,36,102,JavaScript,2014
gte,git://github.com/gambitproject/gte.git,10,257,9,0,0,28,199,70,39,15,Java,2015
tinyows,git://github.com/mapserver/tinyows.git,13,740,23,1,7,44,206,37,23,26,C,2016
fancybox-for-wordpress,git://github.com/ColorlibHQ/fancybox-for-wordpress.git,10,180,33,2,2,12,440,28,22,7,PHP,2019
mongoose-auth,git://github.com/bnoguchi/mongoose-auth.git,10,105,51,0,10,45,50,759,125,23,JavaScript,2012
Overthrow,git://github.com/filamentgroup/Overthrow.git,13,296,27,3,10,48,231,916,100,47,JavaScript,2016
conky_colors,git://github.com/helmuthdu/conky_colors.git,13,165,27,0,0,12,412,103,35,11,Python,2019
Gyazz,git://github.com/masui/Gyazz.git,8,436,53,0,0,33,185,48,12,6,JavaScript,2014
android-squeezer,git://github.com/nikclayton/android-squeezer.git,14,1474,87,0,32,466,450,73,44,13,Java,2019
scrumbugz,git://github.com/mozilla/scrumbugz.git,12,393,37,0,0,50,151,34,22,12,Python,2015
forgetIT,git://github.com/dhbw-horb/forgetIT.git,10,73,20,0,0,12,7,8,4,7,Java,2011
redaxo_ycom,git://github.com/yakamara/redaxo_ycom.git,14,416,185,0,7,16,422,47,30,11,PHP,2019
jenkins-php-api,git://github.com/jenkins-khan/jenkins-php-api.git,12,84,7,0,1,10,289,97,89,13,PHP,2017
RedMine-plantillas-plugin,git://github.com/generaldesoftware/RedMine-plantillas-plugin.git,8,33,17,0,0,9,173,22,19,6,Ruby,2015
domina,git://github.com/levand/domina.git,19,224,27,0,0,11,167,416,43,22,Clojure,2015
sexinfo,git://github.com/sexinfo/sexinfo.git,28,930,98,0,0,40,379,16,4,17,PHP,2018
chocolatey,git://github.com/chocolatey/chocolatey.git,24,820,437,0,33,138,303,2814,349,216,PowerShell,2017
smooks,git://github.com/smooks/smooks.git,25,252,27,1,9,34,467,265,301,51,Java,2019
buzz,git://github.com/jaysalvat/buzz.git,25,233,73,0,20,14,360,1195,239,46,JavaScript,2018
