Project Name,git_url,Developers,Commit #,Closed Issues,Releases,Tags,Open Issues,Duration,Stars,Forks,Watchers,Language,Latest commit year
froide,git://github.com/okfde/froide.git,14,4602,214,0,4,61,448,193,63,27,Python,2019
horton,git://github.com/theochem/horton.git,13,2097,104,8,13,28,437,53,36,17,Python,2019
python-ebay,git://github.com/roopeshvaddepally/python-ebay.git,8,120,13,0,0,10,139,91,50,15,Python,2014
brainiac,git://github.com/cmonty/brainiac.git,14,192,18,0,0,11,165,46,21,9,Clojure,2015
HtmlSpanner,git://github.com/NightWhistler/HtmlSpanner.git,8,113,27,0,3,27,413,635,165,24,Java,2019
socialization,git://github.com/cmer/socialization.git,12,138,24,0,13,17,413,660,128,26,Ruby,2019
badwolf,git://github.com/sjl/badwolf.git,13,71,8,0,9,11,408,1067,202,41,Vim script,2019
prestapyt,git://github.com/prestapyt/prestapyt.git,9,93,13,1,12,21,411,51,73,15,Python,2019
advene,git://github.com/oaubert/advene.git,10,8132,39,0,10,9,459,18,7,5,Python,2019
tools,git://github.com/raspberrypi/tools.git,13,88,44,0,0,34,411,1359,727,220,C++,2019
PrettyCSS,git://github.com/fidian/PrettyCSS.git,11,628,21,0,19,24,411,35,12,3,JavaScript,2019
ResponsiveSlides.js,git://github.com/viljamis/ResponsiveSlides.js.git,14,249,178,0,15,166,243,3379,1599,211,JavaScript,2016
Project-Axeman,git://github.com/JustBuild/Project-Axeman.git,10,397,96,6,6,17,333,15,15,4,JavaScript,2018
express-expose,git://github.com/expressjs/express-expose.git,8,97,15,0,10,13,190,294,25,16,JavaScript,2014
DiskLruCache,git://github.com/JakeWharton/DiskLruCache.git,13,136,35,0,9,17,229,5232,1124,266,Java,2016
linum-relative,git://github.com/coldnew/linum-relative.git,10,72,23,2,3,11,312,145,20,9,Emacs Lisp,2018
SCION,git://github.com/jbeard4/SCION.git,8,1099,295,7,31,42,368,138,27,18,JavaScript,2018
notp,git://github.com/guyht/notp.git,14,67,10,1,3,11,209,541,60,17,JavaScript,2015
django-oauth2-provider,git://github.com/caffeinehit/django-oauth2-provider.git,9,136,23,0,0,41,112,327,259,25,Python,2014
frab,git://github.com/manno/frab.git,9,670,42,0,0,26,67,7,3,1,Ruby,2013
libthumbor,git://github.com/thumbor/libthumbor.git,16,126,9,5,18,6,455,53,33,22,Python,2019
cypher-dsl,git://github.com/neo4j-contrib/cypher-dsl.git,20,191,19,1,22,16,322,81,39,32,Java,2017
ruby-gpgme,git://github.com/ueno/ruby-gpgme.git,15,358,41,0,28,49,447,192,77,18,Ruby,2019
PySide,git://github.com/pyside/PySide.git,19,1656,16,0,32,23,250,254,61,44,Python,2015
tagainijisho,git://github.com/Gnurou/tagainijisho.git,18,1774,96,4,26,85,449,210,36,30,C++,2019
tinycon,git://github.com/tommoor/tinycon.git,26,108,40,0,6,11,411,4891,293,107,JavaScript,2019
klaus,git://github.com/jonashaag/klaus.git,24,514,122,0,33,30,445,546,89,31,Python,2019
dokuwiki-plugin-publish,git://github.com/cosmocode/dokuwiki-plugin-publish.git,17,257,15,0,24,38,459,15,27,8,PHP,2019
redmine_didyoumean,git://github.com/abahgat/redmine_didyoumean.git,21,133,35,0,3,15,411,67,42,20,Ruby,2019
Hive-JSON-Serde,git://github.com/rcongiu/Hive-JSON-Serde.git,25,326,102,0,13,54,438,624,357,65,Java,2019
redaxo4,git://github.com/redaxo/redaxo4.git,27,2813,273,5,29,37,443,45,29,15,PHP,2019
kobuki,git://github.com/yujinrobot/kobuki.git,22,1366,312,0,50,30,411,119,121,30,C++,2019
MailCore,git://github.com/MailCore/MailCore.git,24,346,61,0,1,50,181,833,221,67,Objective-C,2014
burp,git://github.com/grke/burp.git,29,2782,590,38,126,67,455,350,73,42,C,2019
web-ui-fw,git://github.com/web-ui-fw/web-ui-fw.git,24,1853,23,0,6,14,166,35,15,6,JavaScript,2015
ValyriaTear,git://github.com/ValyriaTear/ValyriaTear.git,29,3464,382,2,11,33,409,160,59,29,Lua,2019
Bifrost,git://github.com/dolittle/Bifrost.git,21,3155,424,0,37,350,413,108,35,21,C#,2019
image_optim,git://github.com/toy/image_optim.git,19,1144,91,0,58,34,413,1315,97,38,Ruby,2019
Restler,git://github.com/Luracast/Restler.git,22,1181,441,0,9,42,452,1301,305,101,JavaScript,2019
jabberd2,git://github.com/jabberd2/jabberd2.git,21,1175,76,21,61,52,350,411,182,77,C,2018
Kundera,git://github.com/Impetus/Kundera.git,62,3929,796,1,46,169,374,879,244,126,Java,2018
luaposix,git://github.com/luaposix/luaposix.git,41,1038,181,14,59,20,456,342,100,21,C,2019
pyjwt,git://github.com/jpadilla/pyjwt.git,44,549,183,24,30,58,458,3015,382,56,Python,2019
ccm,git://github.com/riptano/ccm.git,97,1215,178,2,9,56,457,1117,263,74,Python,2019
GtkD,git://github.com/gtkd-developers/GtkD.git,35,1611,193,0,65,22,409,253,61,29,D,2019
i18n,git://github.com/turquoiseowl/i18n.git,36,625,235,0,2,63,447,513,154,55,C#,2019
powder,git://github.com/powder-rb/powder.git,56,233,41,0,22,12,349,1305,75,19,Ruby,2017
gnome-shell-system-monitor-applet,git://github.com/paradoxxxzero/gnome-shell-system-monitor-applet.git,80,959,270,4,15,93,448,1127,272,75,JavaScript,2019
qtermwidget,git://github.com/lxqt/qtermwidget.git,41,444,87,7,9,18,408,218,134,30,C++,2019
Netdot,git://github.com/cvicente/Netdot.git,31,3525,25,0,62,31,447,154,50,31,Perl,2019
etmodel,git://github.com/quintel/etmodel.git,46,6646,2463,2,25,166,450,14,5,17,Ruby,2019
spectrum,git://github.com/bgrins/spectrum.git,63,689,231,8,28,154,285,2116,524,93,JavaScript,2017
OCTGN,git://github.com/octgn/OCTGN.git,41,5999,948,252,1181,199,411,284,122,34,C#,2019
gon,git://github.com/gazay/gon.git,64,449,122,0,53,36,449,2830,171,56,Ruby,2019
rdoc,git://github.com/ruby/rdoc.git,77,3025,303,0,75,69,467,568,361,50,Ruby,2019
RpgEssentials,git://github.com/duckdoom5/RpgEssentials.git,59,2352,102,0,0,38,144,15,7,5,Java,2014
XVim,git://github.com/XVimProject/XVim.git,106,1558,460,3,5,301,308,5247,666,245,Objective-C,2018
gwt-bootstrap,git://github.com/gwtbootstrap/gwt-bootstrap.git,70,983,282,0,4,82,317,415,197,50,Java,2018
riak-ruby-client,git://github.com/basho/riak-ruby-client.git,58,2361,102,5,53,11,266,237,92,91,Ruby,2017
